# Swift-BAT daily average light curve for 4U 1730-22                    
# Generated Wed Jul 19 16:41:21 UTC 2023
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      60112       0.02524242     0.05156420   2023         168     0.04414095     0.00088348      0    1616.00000000   177.73585856  1616.00000000
      60114       0.00545118     0.00649517   2023         170     0.00555853     0.00019079      0    5584.00000000  1722.89849663  5584.00000000
      60122       0.01182991     0.00401525   2023         178     0.00341939     0.00041405      0    5288.00000000  1816.54650879  5288.00000000
      60123       0.00842777     0.00393497   2023         179     0.00335950     0.00029497      0    8952.00000000  4773.30404806  8952.00000000
      60124       0.00648459     0.00854208   2023         180     0.00731084     0.00022696      0    1024.00000000   549.48371887  1024.00000000
      60125       0.00697448     0.00454548   2023         181     0.00388606     0.00024411      0    3608.00000000  2509.89082336  3608.00000000
      60126      -0.00572739     0.01553010   2023         182     0.01329521    -0.00020046      0    1912.00000000   366.77302849  1912.00000000
      60127       0.01256018     0.00679073   2023         183     0.00580179     0.00043961      0    1080.00000000   508.46875000  1080.00000000
      60128       0.00945298     0.00827488   2023         184     0.00707899     0.00033085      0     640.00000000   294.25000000   640.00000000
      60129       0.00331515     0.00404340   2023         185     0.00346039     0.00011603      0    3280.00000000  2149.00000000  3280.00000000
      60130       0.00087266     0.00368024   2023         186     0.00315078     0.00003054      0    9424.00000000  3548.30475676  9424.00000000
      60131       0.00421024     0.00394166   2023         187     0.00337235     0.00014736      0    2280.00000000  1827.75000000  2280.00000000
      60132       0.00344778     0.00407664   2023         188     0.00348875     0.00012067      0    1992.00000000  1295.60939026  1992.00000000
      60133       0.00216062     0.00237383   2023         189     0.00203136     0.00007562      0    7184.00000000  4929.93750000  7184.00000000
      60134      -0.00320357     0.00315485   2023         190     0.00269936    -0.00011212      0    3128.00000000  2606.81250000  3128.00000000
      60135       0.00208503     0.00392360   2023         191     0.00335867     0.00007298      0    5664.00000000  3073.25000000  5664.00000000
      60137      -0.00396689     0.00463151   2023         193     0.00396355    -0.00013884      0    5688.00000000  2048.65625000  5688.00000000
      60138      -0.00464906     0.00599813   2023         194     0.00513350    -0.00016272      0    3360.00000000  1410.50000000  3360.00000000
      60139      -0.00315793     0.00360457   2023         195     0.00308465    -0.00011053      0    5024.00000000  3353.37500000  5024.00000000
      60140       0.00029120     0.00233837   2023         196     0.00200201     0.00001019      0   11504.00000000  7450.18750000 11504.00000000
      60141       0.00240786     0.00502678   2023         197     0.00430314     0.00008428      0    2920.00000000  1656.34375000  2920.00000000
      60142       0.01020962     0.00344533   2023         198     0.00293386     0.00035734      0    6960.00000000  3557.07753539  6960.00000000
      60143       0.00483730     0.00374270   2023         199     0.00320109     0.00016931      0   11120.00000000  4217.97175258 11120.00000000
      60144       0.01057775     0.00587540   2023         200     0.00502031     0.00037022      0    2584.00000000  1166.46875000  2584.00000000
