# Swift-BAT daily average light curve for Aql X-1                       
# Generated Wed Jul 19 16:41:21 UTC 2023
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      60112       0.00185291     0.01186614   2023         168     0.01015922     0.00006485      0      64.00000000    65.00000000    64.00000000
      60113       0.00196463     0.00644108   2023         169     0.00551431     0.00006876      0     552.00000000   370.87500000   552.00000000
      60114      -0.01129744     0.00502136   2023         170     0.00428576    -0.00039541      0    5000.00000000  2091.94791955  5000.00000000
      60122      -0.00145381     0.00447963   2023         178     0.00383505    -0.00005088      0    3616.00000000  1598.49372196  3616.00000000
      60123      -0.00088398     0.01534668   2023         179     0.01313926    -0.00003094      0    1088.00000000   209.09179115  1088.00000000
      60124       0.00199351     0.00495257   2023         180     0.00423979     0.00006977      0    1856.00000000   965.23238182  1856.00000000
      60125       0.00345261     0.00833134   2023         181     0.00713225     0.00012084      0    1024.00000000   298.07812500  1024.00000000
      60127       0.00318065     0.00804741   2023         183     0.00688925     0.00011132      0    1024.00000000   736.39843750  1024.00000000
      60128       0.00546469     0.01528532   2023         184     0.01308572     0.00019126      0     552.00000000    80.85937500   552.00000000
      60129      -0.01110391     0.00622113   2023         185     0.00531590    -0.00038864      0    3600.00000000  1403.62500000  3600.00000000
      60130       0.00057270     0.00373099   2023         186     0.00319429     0.00002004      0    2848.00000000  1323.59375000  2848.00000000
      60131       0.00133238     0.00896580   2023         187     0.00767609     0.00004663      0     976.00000000   252.90625000   976.00000000
      60132       0.00613306     0.00396175   2023         188     0.00338693     0.00021466      0    1344.00000000  1189.50000000  1344.00000000
      60133       0.00355181     0.00249145   2023         189     0.00213044     0.00012431      0    5912.00000000  3519.81250000  5912.00000000
      60134      -0.00061818     0.00449114   2023         190     0.00384511    -0.00002164      0    3216.00000000  1277.31250000  3216.00000000
      60135      -0.01061604     0.00513490   2023         191     0.00438480    -0.00037156      0    2080.00000000   971.00000000  2080.00000000
      60137      -0.00012767     0.00513557   2023         193     0.00439689    -0.00000447      0    4984.00000000  2187.12500000  4984.00000000
      60138       0.00341510     0.00411856   2023         194     0.00352468     0.00011953      0    3936.00000000  2161.93750000  3936.00000000
      60139      -0.00131109     0.00341354   2023         195     0.00292229    -0.00004589      0    4960.00000000  3146.00000000  4960.00000000
      60140       0.00256994     0.00255913   2023         196     0.00218968     0.00008995      0   12016.00000000  5473.98437881 12016.00000000
      60141       0.00084493     0.00473693   2023         197     0.00405551     0.00002957      0    3408.00000000  1715.93750000  3408.00000000
      60142      -0.00142497     0.00384443   2023         198     0.00329119    -0.00004987      0    4504.00000000  2586.08559227  4504.00000000
      60143       0.00654057     0.00417734   2023         199     0.00357112     0.00022892      0    8232.00000000  3656.02693772  8232.00000000
      60144       0.00423854     0.00444637   2023         200     0.00380471     0.00014835      0    2584.00000000  1512.00358510  2584.00000000
