# Swift-BAT daily average light curve for MAXI J1816-195                
# Generated Wed Jul 19 16:41:21 UTC 2023
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      59743       0.02839451     0.00826473   2022         164     0.00702462     0.00099381      0     832.00000000   367.75000000   832.00000000
      59744       0.01382189     0.00394969   2022         165     0.00335612     0.00048377      0    3864.00000000  1709.34375000  3864.00000000
      59745       0.02000479     0.00379769   2022         166     0.00319571     0.00070017      0    6800.00000000  2944.59375000  6800.00000000
      59746       0.00965778     0.00320143   2022         167     0.00272563     0.00033802      0    5648.00000000  3079.31250000  5648.00000000
      59747       0.02182902     0.00375273   2022         168     0.00314566     0.00076402      0    5272.00000000  2555.03125000  5272.00000000
      59748       0.01844992     0.00316229   2022         169     0.00265039     0.00064575      0    5168.00000000  3137.28125000  5168.00000000
      59749       0.01262961     0.00462281   2022         170     0.00393975     0.00044204      0    4712.00000000  2209.98437500  4712.00000000
      59750       0.01076776     0.00276725   2022         171     0.00234715     0.00037687      0    8368.00000000  3866.53125000  8368.00000000
      59751       0.01329355     0.00289479   2022         172     0.00244619     0.00046527      0    8248.00000000  4073.78125000  8248.00000000
      59752       0.01508765     0.00471774   2022         173     0.00401378     0.00052807      0    3384.00000000   905.76562500  3384.00000000
      59753       0.01728126     0.00315442   2022         174     0.00265059     0.00060484      0    6512.00000000  2588.07812500  6512.00000000
      59754       0.00753298     0.00613510   2022         175     0.00524780     0.00026365      0     696.00000000   240.21875000   696.00000000
      59755       0.01288351     0.00468452   2022         176     0.00399210     0.00045092      0    1960.00000000   967.40625000  1960.00000000
      59756       0.00883720     0.00287979   2022         177     0.00245131     0.00030930      0    5152.00000000  2381.96875000  5152.00000000
      59757       0.00175688     0.00341851   2022         178     0.00292633     0.00006149      0    2552.00000000  1271.56250000  2552.00000000
      59758       0.00585502     0.00244815   2022         179     0.00208866     0.00020493      0    4504.00000000  2134.01562500  4504.00000000
      59759       0.00903865     0.00209625   2022         180     0.00177418     0.00031635      0    9984.00000000  4355.78182340  9984.00000000
      59760       0.00543385     0.00419397   2022         181     0.00358703     0.00019018      0    2176.00000000  1152.50000000  2176.00000000
      59761       0.00476469     0.00254066   2022         182     0.00217053     0.00016676      0    4544.00000000  3060.31250000  4544.00000000
      59762       0.00444941     0.00204486   2022         183     0.00174565     0.00015573      0    8000.00000000  5485.28125000  8000.00000000
      59763      -0.00173197     0.00358368   2022         184     0.00306778    -0.00006062      0    2880.00000000  1911.37500000  2880.00000000
      59764      -0.00225602     0.00244911   2022         185     0.00209575    -0.00007896      0    5960.00000000  3758.18750000  5960.00000000
      59765       0.00125994     0.00243532   2022         186     0.00208469     0.00004410      0    7120.00000000  4703.56250000  7120.00000000
