# Swift-BAT daily average light curve for IGRJ19566+0326                
# Generated Wed Jul 19 16:41:21 UTC 2023
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      60112      -0.01437208     0.01249109   2023         168     0.01068575    -0.00050302      0      64.00000000    62.50000000    64.00000000
      60113       0.00621233     0.00571311   2023         169     0.00488782     0.00021743      0    1320.00000000   605.43750000  1320.00000000
      60114       0.00616765     0.00455774   2023         170     0.00389779     0.00021587      0    5000.00000000  2356.26965177  5000.00000000
      60122      -0.00205958     0.00503606   2023         178     0.00431125    -0.00007209      0    3136.00000000  1135.38077116  3136.00000000
      60123      -0.00890246     0.00839953   2023         179     0.00718643    -0.00031159      0     320.00000000   210.51562500   320.00000000
      60124       0.00004546     0.00431042   2023         180     0.00369043     0.00000159      0    2688.00000000  1233.57763958  2688.00000000
      60125      -0.00065239     0.00604671   2023         181     0.00517694    -0.00002283      0    1728.00000000   429.37500000  1728.00000000
      60126       0.01344871     0.00861872   2023         182     0.00736802     0.00047070      0    1760.00000000   275.65625000  1760.00000000
      60127      -0.00221543     0.00593981   2023         183     0.00508502    -0.00007754      0    1024.00000000   894.98437500  1024.00000000
      60128       0.00899580     0.00415171   2023         184     0.00354431     0.00031485      0    4432.00000000  1401.40612650  4432.00000000
      60129      -0.00336328     0.01135489   2023         185     0.00972113    -0.00011771      0    1888.00000000   632.00000000  1888.00000000
      60130      -0.01020829     0.00403149   2023         186     0.00343803    -0.00035729      0     984.00000000   938.31250000   984.00000000
      60131      -0.02561733     0.01548351   2023         187     0.01323419    -0.00089661      0     128.00000000    59.75000000   128.00000000
      60132       0.00169409     0.00400044   2023         188     0.00342466     0.00005929      0    3112.00000000  1436.45312500  3112.00000000
      60133       0.00130968     0.00295001   2023         189     0.00252539     0.00004584      0    4312.00000000  2465.12500000  4312.00000000
      60134      -0.00449729     0.00581257   2023         190     0.00497469    -0.00015741      0    1728.00000000   559.87500000  1728.00000000
      60135      -0.01209447     0.00473936   2023         191     0.00404145    -0.00042331      0    1920.00000000   959.50000000  1920.00000000
      60137       0.00951184     0.00685574   2023         193     0.00586272     0.00033291      0    4136.00000000  1323.63281918  4136.00000000
      60138      -0.00132163     0.00678770   2023         194     0.00581125    -0.00004626      0    2992.00000000  1118.21875000  2992.00000000
      60139       0.00103693     0.00371514   2023         195     0.00318062     0.00003629      0    5728.00000000  2112.15625000  5728.00000000
      60140       0.00108951     0.00311356   2023         196     0.00266552     0.00003813      0    6984.00000000  2765.32620573  6984.00000000
      60141       0.00159748     0.00404068   2023         197     0.00345915     0.00005591      0    5136.00000000  1776.43750000  5136.00000000
      60142      -0.00431634     0.00384794   2023         198     0.00329193    -0.00015107      0    4504.00000000  2109.02239275  4504.00000000
      60143       0.00742856     0.00496737   2023         199     0.00424705     0.00026000      0    7912.00000000  2286.32794833  7912.00000000
      60144      -0.00497363     0.00485081   2023         200     0.00415041    -0.00017408      0    2584.00000000  1219.26963043  2584.00000000
