 ! Swift/XRT lightcurve of trigger: 13781, name: IGR J195660326
 ! T0 for this burst is Swift MET=453251111.4006 s, = 2015 May 13 at 23:04:57.825 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source count-rate, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00013781
 ! BINMODE: 

READ TERR 1 2
! WT data
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
57660.6987326678	0.00578196759259259	-0.00578196759259259	2.656081e+01	8.075834e-01	-8.358943e-01
57661.3551525984	0.268926863425926	-0.268926863425926	1.941459e+01	1.709940e-01	-1.703392e-01
57662.7536467558	9.17476851851852e-05	-9.17476851851852e-05	4.599778e+00	5.715019e-01	-5.714998e-01
57663.0836026701	0.000184386574074074	-0.000184386574074074	3.489764e+00	3.607444e-01	-3.607439e-01
59749.6122635255	0.00861733796296296	-0.00861733796296296	7.826064e+00	7.747240e-02	-7.751320e-02
NO	NO	NO	NO	NO
! PC data
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
57156.0305764282	0.0670391666666667	-0.0670391666666667	5.681639e-01	2.028329e-02	-2.028329e-02
57156.4661397384	0.033986724537037	-0.033986724537037	1.990445e-01	2.626829e-02	-2.626829e-02
57157.6959204583	0.00863335648148148	-0.00863335648148148	1.204042e-02	3.758402e-03	-3.142210e-03
57162.0282598646	0.00975061342592593	-0.00975061342592593	7.843849e-03	2.819539e-03	-2.301758e-03
57304.6807735949	0.005716875	-0.005716875	6.955940e-01	4.021957e-02	-4.021957e-02
57305.6227988958	0.00576040509259259	-0.00576040509259259	6.115978e-02	8.938174e-03	-8.938174e-03
57662.7559342789	0.00217648148148148	-0.00217648148148148	5.058861e+00	2.597505e-01	-2.597505e-01
57663.354927728	0.271121076388889	-0.271121076388889	1.333102e+00	5.463394e-02	-5.463394e-02
57664.18248486	0.0339484490740741	-0.0339484490740741	1.224783e-01	9.488085e-03	-9.488085e-03
59752.0794529861	0.00351137731481481	-0.00351137731481481	5.737404e-02	1.116318e-02	-1.116318e-02
