 ! Swift/XRT lightcurve of trigger: 10711, name:  MASTER OT J172829.90-202255.9
 ! T0 for this burst is Swift MET=550047302.0006 s, = 2018 Jun 07 at 06:54:40.934 UT

 ! Data covers 0.3-10 keV
 ! The data are in 5 columns: ";
 ! time, time error (+ve), time error (-ve), source count-rate, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00010711
 ! BINMODE: 

READ TERR 1 2
! WT data
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
58282.9372523993	0.00208211805555556	-0.00208211805555556	3.268317e+02	7.610402e+00	-2.267553e+00
58285.4528007292	0.00538081018518518	-0.00538081018518518	3.209255e+02	7.399765e+00	-1.751158e+00
58309.5721014838	0.00540956018518519	-0.00540956018518519	4.479408e+01	2.329209e-01	-2.327691e-01
58312.5571348414	0.00578574074074074	-0.00578574074074074	2.952221e+01	1.820724e-01	-1.820302e-01
58318.7969515926	0.00555427083333333	-0.00555427083333333	2.229492e+01	1.611821e-01	-1.611678e-01
58321.0500625706	0.00590150462962963	-0.00590150462962963	1.589190e+01	1.368500e-01	-1.364605e-01
58327.0228096794	0.00338319444444444	-0.00338319444444444	7.360976e+00	1.220296e-01	-1.219996e-01
58330.5562284155	0.00598736111111111	-0.00598736111111111	5.850148e+00	8.066892e-02	-8.066456e-02
58353.6628892731	0.00561212962962963	-0.00561212962962963	1.670592e+00	5.041356e-02	-5.040179e-02
58359.3143122986	0.00558162037037037	-0.00558162037037037	1.305734e+00	4.655810e-02	-4.650245e-02
58380.357558941	0.00607511574074074	-0.00607511574074074	7.350600e-01	3.064034e-02	-3.064094e-02
NO	NO	NO	NO	NO
! PC data
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
58325.8995709097	0.005716875	-0.005716875	1.189692e+01	1.300641e+00	-1.300641e+00
58411.2309812431	0.00210392361111111	-0.00210392361111111	9.011575e-02	1.929858e-02	-1.929858e-02
58415.020564941	0.00693570601851852	-0.00693570601851852	2.997361e-02	6.320327e-03	-6.320327e-03
