# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-08-09 at 20:36:00
#
# Requested input R.A. = 37.5712 degrees
# Requested input Dec. = 28.6012 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460167.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 605 15 3 ZTF_r 544452815915 0 3.0318 190.1 14.1751 26.0632 1.50783e-05 0.0403428 0.103677 2.29939e-05 726 30. 0.070985 0.060412 19.0313 26.0632 1 2458298.9528125 605120259 166.486826251718 87.187886275977 2.12411744848211 0.961111150075022 289.12762934605 127.501242261319 2.28291831045895 1.08599466955863 0.524971122813386 17.2610000610352 0.0920000001788139 6.17999982833862 0.598999977111816 2458298.952812 2458447.855336 0
 1 605 15 3 ZTF_r 547445375915 0 2.5528 194.272 10.8032 26.0928 8.8383e-06 0.0315265 0.0825998 1.33773e-05 763 30. 0.061664 0.05183 19.488 26.0928 1 2458301.9453704 605120259 202.092909455789 51.1509156583207 4.39493508689841 1.04156672290135 160.406783343405 86.7961545124651 1.86053325939711 1.0404541649529 0.524971122813386 17.2610000610352 0.0920000001788139 6.17999982833862 0.598999977111816 2458298.952812 2458447.855336 0
 2 605 15 3 ZTF_g 547476165915 0 2.2808 85.3876 12.7627 26.1779 1.49187e-05 0.0355094 -0.0455624 2.91211e-05 589 30. 0.05575 0.045971 19.4612 26.1779 1 2458301.976169 605120159 58.9988385130042 64.0944994612891 1.02394705846432 0.945456145207332 193.690401043553 112.565534672976 1.73227904620218 1.05913949753577 0.997066944292494 18.1069995880127 0.118000000715256 7.06400012969971 0.552999973297119 2458304.965961 2458378.976748 0
 3 605 15 3 ZTF_g 550465965915 0 3.0374 86.6075 9.01415 26.232 1.62609e-05 0.0377833 -0.104777 3.12181e-05 639 30. 0.061034 0.064935 19.6954 26.232 1 2458304.9659606 605120159 17.8673600879058 50.1023412040261 0.396695405791639 0.95094542292947 99.3908197606366 79.5666576888383 1.25756473322622 1.057381145314 0.997066944292494 18.1069995880127 0.118000000715256 7.06400012969971 0.552999973297119 2458304.965961 2458378.976748 0
 4 605 15 3 ZTF_r 556451905915 0 1.8253 176.298 6.0816 25.9467 5.079e-06 0.0242105 0.103262 7.80636e-06 787 30. 0.06152 0.064409 20.3232 25.9467 1 2458310.9519097 605120259 35.6704746099944 25.9804767765497 1.527272641713 1.14308483944162 83.1089146078504 48.6306435294798 1.72049250959795 1.05495209488446 0.524971122813386 17.2610000610352 0.0920000001788139 6.17999982833862 0.598999977111816 2458298.952812 2458447.855336 0
 5 605 15 3 ZTF_g 566466725915 0 2.4516 65.7957 4.85247 25.8138 1.92883e-05 0.0449943 -0.0179964 3.20287e-05 723 30. 0.049617 0.048031 20.386 25.8138 1 2458320.9667245 605120159 19.7066757207708 25.8811383305131 0.847002704990935 1.05398736653383 49.7440611038128 42.5774511863832 1.1761880719009 1.1232460454646 0.997066944292494 18.1069995880127 0.118000000715256 7.06400012969971 0.552999973297119 2458304.965961 2458378.976748 0
 6 605 15 3 ZTF_r 566488715915 0 1.3011 190.588 6.70954 26.036 1.59042e-05 0.0423209 0.0876362 2.42328e-05 767 30. 0.075697 0.067768 20.4461 26.036 1 2458320.9887153 605120259 113.108239546138 25.5472184738539 4.92499078267788 1.00923890264853 277.503003640322 52.5315528865953 5.31817521060258 1.03961761689337 0.524971122813386 17.2610000610352 0.0920000001788139 6.17999982833862 0.598999977111816 2458298.952812 2458447.855336 0
 7 605 15 3 ZTF_g 569445775915 0 2.2227 91.7259 4.75341 26.2117 8.7732e-06 0.031407 -0.0313892 1.3662e-05 763 30. 0.052486 0.051243 20.7231 26.2117 1 2458323.9457755 605120159 -35.5830634405179 26.0898731610375 -1.51714177963605 1.02063392571311 1.28697332275065 42.801000837852 0.0302712819037502 1.13292664738522 0.997066944292494 18.1069995880127 0.118000000715256 7.06400012969971 0.552999973297119 2458304.965961 2458378.976748 0
 8 605 15 3 ZTF_r 569487035915 0 1.7332 221.092 6.55786 26.194 3.5676e-06 0.0201454 0.0994301 5.47474e-06 773 30. 0.043148 0.040372 20.5127 26.194 1 2458323.987037 605120259 0.708815646827673 24.9977308374916 0.0315418752298059 1.1894387065537 -21.172476013677 49.7849000817776 -0.428143349143476 1.04313426416369 0.524971122813386 17.2610000610352 0.0920000001788139 6.17999982833862 0.598999977111816 2458298.952812 2458447.855336 0
 9 605 15 3 ZTF_r 572404065915 33554432 2.2518 77.433 10.5971 25.1002 4.85612e-05 0.0667036 0.0828855 7.84722e-05 625 30. 0.056133 0.051358 18.5502 25.1002 1 2458326.9040625 605120259 32.1026008743971 45.77676647284 0.78009933589211 1.05461947231526 226.520855133408 85.32208270782 2.67277214629791 1.02820113784585 0.524971122813386 17.2610000610352 0.0920000001788139 6.17999982833862 0.598999977111816 2458298.952812 2458447.855336 0
 10 605 15 3 ZTF_g 572494505915 0 2.1041 86.8871 13.7411 26.1842 1.7268e-05 0.0376008 -0.0651884 3.47979e-05 597 30. 0.041174 0.038989 19.4558 26.1842 1 2458326.9945023 605120159 -31.191677240024 64.6933999836747 -0.5363318066421 1.03079926281452 134.635849984418 118.229334989355 1.14643823542209 1.0577470631123 0.997066944292494 18.1069995880127 0.118000000715256 7.06400012969971 0.552999973297119 2458304.965961 2458378.976748 0
 11 605 15 3 ZTF_g 575466345915 0 2.0883 90.7132 12.2452 26.2118 1.52735e-05 0.0364532 -0.0159835 3.02079e-05 620 30. 0.045859 0.050325 19.7341 26.2118 1 2458329.9663426 605120159 43.2057630612913 64.0918363929027 0.749883444079372 0.976298009002124 55.123851500514 108.385914934936 0.512014073463598 1.11799780918968 0.997066944292494 18.1069995880127 0.118000000715256 7.06400012969971 0.552999973297119 2458304.965961 2458378.976748 0
 12 605 15 3 ZTF_r 575496785915 0 1.3292 214.544 11.7179 26.1758 7.6988e-06 0.0297654 0.0940912 1.17655e-05 780 30. 0.068585 0.054178 19.9862 26.1758 1 2458329.9967824 605120259 -3.46475301309061 41.4539923436123 -0.0929738294724938 1.12765199359103 40.1952826395842 90.7847057520425 0.445735874182566 1.03504488788096 0.524971122813386 17.2610000610352 0.0920000001788139 6.17999982833862 0.598999977111816 2458298.952812 2458447.855336 0
 13 605 15 3 ZTF_r 578427195915 0 1.9652 203.155 12.47 26.1505 4.9982e-06 0.0241043 0.0775298 7.67707e-06 790 30. 0.043845 0.038503 19.6111 26.1505 1 2458332.9271991 605120259 -21.2387528717729 46.7844983854339 -0.504988903677793 1.07292002025052 -65.5064139966209 93.4366993481943 -0.705799797336999 1.02852299154847 0.524971122813386 17.2610000610352 0.0920000001788139 6.17999982833862 0.598999977111816 2458298.952812 2458447.855336 0
 14 605 15 3 ZTF_g 578482215915 33554432 2.2267 46.4624 27.5439 25.4922 0.000331414 0.11185 -0.0651338 0.000839796 341 30. 0.047981 0.04546 17.9602 25.4922 1 2458332.9822106 605120159 -225.739156600581 86.6834390223189 -2.89684705476148 0.917999265781395 -115.871712327609 160.741213731966 -0.725713787201582 1.04298728104654 0.997066944292494 18.1069995880127 0.118000000715256 7.06400012969971 0.552999973297119 2458304.965961 2458378.976748 0
 15 605 15 3 ZTF_r 582440315915 0 2.3059 224.275 6.98334 26.2252 4.303e-06 0.0220215 0.0949275 6.55963e-06 769 30. 0.045926 0.045781 20.2081 26.2252 1 2458336.9403125 605120259 48.2785608493075 36.5281361959603 1.47021755218459 1.07295861637116 68.8146467860667 62.084477401365 1.1158685760298 1.06480602927275 0.524971122813386 17.2610000610352 0.0920000001788139 6.17999982833862 0.598999977111816 2458298.952812 2458447.855336 0
 16 605 15 3 ZTF_g 582486885915 0 13.1376 100.043 6.3259 26.3098 1.14736e-05 0.035616 -0.0225946 1.87668e-05 755 30. 0.047599 0.046383 20.358 26.3098 1 2458336.9868866 605120159 52.8168538175978 39.4513734239985 1.48924174635969 1.00110530372064 100.616275535446 60.9167342618432 1.66282603897847 1.14708072008357 0.997066944292494 18.1069995880127 0.118000000715256 7.06400012969971 0.552999973297119 2458304.965961 2458378.976748 0
 17 605 15 3 ZTF_g 586487345915 0 2.5719 77.7543 4.27382 26.021 9.81e-06 0.0337197 -0.0128735 1.56414e-05 780 30. 0.054303 0.051574 20.5404 26.021 1 2458340.9873495 605120159 49.1916821616661 25.7150311409174 2.12794020664105 1.20551841039656 100.52345136259 39.6955129808108 2.54941868719635 1.14106199013534 0.997066944292494 18.1069995880127 0.118000000715256 7.06400012969971 0.552999973297119 2458304.965961 2458378.976748 0
