# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-08-09 at 20:35:59
#
# Requested input R.A. = 82.7001 degrees
# Requested input Dec. = -3.9625 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460167.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 408 8 2 ZTF_g 450179943015 0 3.4977 102.858 13.7655 26.115 8.99835e-05 0.0422182 -0.122926 0.000116337 405 30. 0.075854 0.074134 18.9411 26.115 1 2458204.6799421 408120130 27.7410515051724 81.3173021230897 0.379485125932548 1.03395612825395 -59.218273994017 114.241470579413 -0.521851759909225 1.05231660110146 1.20598791592103 16.9659997940063 0.0270000007003546 1.92299997806549 -0.0719999969005585 2458204.679942 2458439.955995 0
 1 408 8 2 ZTF_r 605462623015 0 2.3757 237.322 13.3385 26.1093 1.95566e-05 0.0338422 0.108062 2.02931e-05 910 30. 0.046423 0.045463 19.4589 26.1093 1 2458359.9626273 408120230 590.200240579365 56.2919599731659 11.6629338689407 1.94957994303094 612.184849637718 98.1763543026697 6.27755995014849 1.04548433399712 1.15994275234399 15.5230001449585 0.0179999992251396 0.819999992847443 -0.0419999994337559 2458359.962627 2458448.914803 0
 2 408 8 2 ZTF_r 605504453015 0 1.8454 241.684 10.7861 26.1632 1.21977e-05 0.0265224 0.10143 1.26955e-05 903 30. 0.038387 0.040877 20.0111 26.1632 1 2458360.004456 408120230 405.397218227349 39.4860473165518 11.4206784416348 5.01680305487701 290.112832783454 73.9699497198803 3.94845150645506 1.03808981316116 1.15994275234399 15.5230001449585 0.0179999992251396 0.819999992847443 -0.0419999994337559 2458359.962627 2458448.914803 0
 3 408 8 2 ZTF_g 608512443015 0 2.4243 118.819 11.1296 26.1925 4.63356e-05 0.0408779 -0.0578666 5.60073e-05 690 30. 0.050558 0.053812 19.6653 26.1925 1 2458363.0124421 408120130 -50.2390264452847 53.43318807941 -1.04588739495589 0.974067195907848 -20.4461690660542 91.097290738437 -0.225954855783626 1.05586162176305 1.20598791592103 16.9659997940063 0.0270000007003546 1.92299997806549 -0.0719999969005585 2458204.679942 2458439.955995 0
 4 408 8 2 ZTF_g 611464673015 0 2.9538 112.794 7.46271 26.0719 6.23328e-05 0.0500981 -0.0477451 7.36533e-05 733 30. 0.075328 0.074327 19.77 26.0719 1 2458365.9646759 408120130 -240.143851725358 38.9430736040229 -6.85955666001843 1.09790077901982 -278.459725228542 59.5205492822803 -4.70988878428528 1.06246384894053 1.20598791592103 16.9659997940063 0.0270000007003546 1.92299997806549 -0.0719999969005585 2458204.679942 2458439.955995 0
 5 408 8 2 ZTF_r 611517983015 0 2.3909 252.203 11.3143 26.1746 1.34571e-05 0.0278381 0.101529 1.39585e-05 904 30. 0.042315 0.061279 19.6911 26.1746 1 2458366.0179861 408120230 -672.165483786156 49.8927915972759 -14.986257971584 3.88080881849508 -954.590017160167 86.4379253711986 -11.1180275523851 1.04343685859077 1.15994275234399 15.5230001449585 0.0179999992251396 0.819999992847443 -0.0419999994337559 2458359.962627 2458448.914803 0
 6 408 8 2 ZTF_r 614475113015 0 1.9949 248.988 5.85683 26.1503 9.5818e-06 0.0234773 0.118205 9.92132e-06 904 30. 0.052703 0.055055 20.5994 26.1503 1 2458368.9751157 408120230 736.000581724647 26.090635110725 31.3796653455654 6.35058467412875 503.8147344308 36.5223119592967 13.8876190592588 1.06591232399699 1.15994275234399 15.5230001449585 0.0179999992251396 0.819999992847443 -0.0419999994337559 2458359.962627 2458448.914803 0
 7 408 8 2 ZTF_g 614519743015 0 1.7367 125.998 11.1747 26.177 4.6948e-05 0.0430883 -0.0256767 5.56106e-05 749 30. 0.042758 0.050687 20.0801 26.177 1 2458369.0197454 408120130 114.82473704498 36.4372846136224 3.50545386441168 1.98261274681386 87.7928349975933 64.1533057495944 1.37770179977068 1.06383287738399 1.20598791592103 16.9659997940063 0.0270000007003546 1.92299997806549 -0.0719999969005585 2458204.679942 2458439.955995 0
 8 408 8 2 ZTF_r 617476733015 0 2.3652 255.06 5.61274 26.1727 1.03676e-05 0.0243408 0.122974 1.07593e-05 903 30. 0.045315 0.045288 20.4918 26.1727 1 2458371.9767361 408120230 773.406253269358 28.4095875528821 30.2829062137238 4.8215668050044 705.460597294928 40.827224407726 17.3955473414921 1.07379081912359 1.15994275234399 15.5230001449585 0.0179999992251396 0.819999992847443 -0.0419999994337559 2458359.962627 2458448.914803 0
