HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456555.13986,2013-09-19.6437368,bb,2.05,14.987,>14.987,99.990,2.425,0.777,V
2456556.13641,2013-09-20.6402245,bb,1.97,15.577,>15.577,99.990,-0.215,0.451,V
2456556.13778,2013-09-20.6415984,bb,1.97,15.457,>15.457,99.990,0.239,0.504,V
2456557.13293,2013-09-21.6366776,bb,1.98,15.823,>15.823,99.990,0.053,0.359,V
2456557.13429,2013-09-21.6380395,bb,1.86,15.688,>15.688,99.990,-0.153,0.407,V
2456564.11774,2013-09-28.6209981,bb,2.10,15.114,>15.114,99.990,-0.156,0.691,V
2456564.11911,2013-09-28.6223678,bb,2.03,15.735,>15.735,99.990,0.005,0.390,V
2456570.10432,2013-10-04.6071172,bb,1.73,16.973,>16.973,99.990,0.260,0.125,V
2456570.10568,2013-10-04.6084788,bb,1.87,16.844,>16.844,99.990,0.413,0.140,V
2456571.13819,2013-10-05.6409006,bb,1.80,16.433,>16.433,99.990,0.158,0.205,V
2456571.13955,2013-10-05.6422583,bb,1.83,16.275,>16.275,99.990,0.622,0.237,V
2456574.10136,2013-10-08.6038326,bb,1.67,16.878,>16.878,99.990,0.392,0.136,V
2456574.10272,2013-10-08.6051996,bb,1.73,16.863,>16.863,99.990,0.581,0.138,V
2456576.08961,2013-10-10.5919162,bb,1.81,15.317,>15.317,99.990,1.403,0.574,V
2456576.09097,2013-10-10.5932824,bb,1.92,15.092,>15.092,99.990,-0.645,0.705,V
2456589.07253,2013-10-23.5737008,bb,2.02,13.565,>13.565,99.990,2.499,2.878,V
2456616.97686,2013-11-20.4754640,ba,2.23,15.869,>15.869,99.990,-0.998,0.345,V
2456616.97824,2013-11-20.4768478,ba,2.28,15.759,>15.759,99.990,1.087,0.381,V
2456618.95428,2013-11-22.4527069,ba,2.16,15.916,>15.916,99.990,0.644,0.330,V
2456618.95568,2013-11-22.4541099,ba,2.13,15.763,>15.763,99.990,-0.252,0.380,V
2456621.94895,2013-11-25.4471211,ba,1.68,16.374,>16.374,99.990,0.438,0.217,V
2456621.95032,2013-11-25.4484895,ba,1.68,16.633,>16.633,99.990,0.466,0.171,V
2456624.95648,2013-11-28.4543855,ba,2.26,17.327,>17.327,99.990,0.234,0.090,V
2456624.95786,2013-11-28.4557572,ba,2.25,17.170,>17.170,99.990,0.106,0.104,V
2456630.93446,2013-12-04.4318665,ba,2.28,16.804,>16.804,99.990,0.155,0.146,V
2456630.93583,2013-12-04.4332318,ba,2.35,16.753,>16.753,99.990,0.315,0.153,V
2456639.94613,2013-12-13.4428402,ba,1.84,99.990,99.990,99.990,99.990,99.990,V
2456676.80818,2014-01-19.3030650,ba,1.73,15.792,>15.792,99.990,-0.112,0.370,V
2456676.80953,2014-01-19.3044209,ba,1.71,15.749,>15.749,99.990,1.253,0.385,V
2456677.81805,2014-01-20.3129142,ba,2.07,16.506,>16.506,99.990,0.680,0.192,V
2456677.81960,2014-01-20.3144656,ba,2.12,16.331,>16.331,99.990,0.191,0.225,V
2456681.80918,2014-01-24.3039744,ba,1.64,16.713,>16.713,99.990,0.255,0.158,V
2456682.80510,2014-01-25.2998810,ba,2.02,16.899,>16.899,99.990,0.104,0.133,V
2456682.80663,2014-01-25.3014059,ba,2.02,16.844,>16.844,99.990,0.208,0.140,V
2456696.76626,2014-02-08.2610134,bd,2.18,15.551,>15.551,99.990,0.643,0.462,V
2456696.76626,2014-02-08.2610134,ba,1.86,15.653,>15.653,99.990,0.124,0.421,V
2456700.75641,2014-02-12.2512114,bd,2.01,15.486,>15.486,99.990,0.474,0.490,V
2456700.75779,2014-02-12.2525914,bd,1.98,15.547,>15.547,99.990,-0.165,0.463,V
2456733.72162,2014-03-17.2173538,bd,2.32,14.511,>14.511,99.990,1.137,1.204,V
2456733.72162,2014-03-17.2173543,ba,2.15,14.162,>14.162,99.990,-3.920,1.661,V
2456733.72293,2014-03-17.2186651,ba,2.06,14.638,>14.638,99.990,1.638,1.071,V
2456733.72293,2014-03-17.2186653,bd,2.26,14.758,>14.758,99.990,1.797,0.959,V
2456734.74447,2014-03-18.2402641,ba,1.63,99.990,99.990,99.990,99.990,99.990,V
2456740.74349,2014-03-24.2396914,ba,1.72,16.871,>16.871,99.990,0.428,0.137,V
2456740.74481,2014-03-24.2410125,ba,1.77,16.939,>16.939,99.990,0.342,0.129,V
2456741.74437,2014-03-25.2406363,ba,1.72,16.864,>16.864,99.990,0.128,0.138,V
2456741.74569,2014-03-25.2419587,ba,1.70,16.860,>16.860,99.990,0.269,0.138,V
2456759.76443,2014-04-12.2621302,ba,1.72,15.813,>15.813,99.990,0.137,0.363,V
2456759.76576,2014-04-12.2634608,ba,1.76,15.750,>15.750,99.990,0.699,0.384,V
2456765.79510,2014-04-18.2933201,ba,2.07,14.303,>14.303,99.990,-0.393,1.458,V
2456765.79716,2014-04-18.2953908,ba,2.09,14.949,>14.949,99.990,0.958,0.804,V
2456767.80627,2014-04-20.3046721,ba,2.01,16.481,>16.481,99.990,0.131,0.196,V
2456767.80789,2014-04-20.3062908,ba,2.10,16.312,>16.312,99.990,0.023,0.229,V
2456770.77776,2014-04-23.2764273,ba,2.26,16.434,>16.434,99.990,0.001,0.205,V
2456770.77914,2014-04-23.2778105,ba,2.26,16.614,>16.614,99.990,0.048,0.174,V
2456771.78616,2014-04-24.2849168,ba,1.78,16.822,>16.822,99.990,0.294,0.143,V
2456771.78787,2014-04-24.2866281,ba,1.82,16.854,>16.854,99.990,0.495,0.139,V
2456794.74165,2014-05-17.2424876,ba,2.42,16.206,>16.206,99.990,0.167,0.253,V
2456794.74303,2014-05-17.2438739,ba,2.39,16.211,>16.211,99.990,0.647,0.251,V
2456797.73398,2014-05-20.2350862,ba,1.94,15.092,>15.092,99.990,0.233,0.705,V
2456797.73534,2014-05-20.2364434,ba,1.79,15.209,>15.209,99.990,0.966,0.633,V
2456908.89904,2014-09-08.4031824,be,1.55,14.295,>14.295,99.990,-0.224,1.468,V
2456908.90051,2014-09-08.4046456,be,1.48,15.673,>15.673,99.990,0.821,0.413,V
2456911.91084,2014-09-11.4148185,be,2.04,99.990,99.990,99.990,99.990,99.990,V
2456911.91233,2014-09-11.4163129,be,2.01,99.990,99.990,99.990,99.990,99.990,V
2456916.90054,2014-09-16.4042377,bf,1.52,15.290,>15.290,99.990,2.086,0.588,V
2456918.88736,2014-09-18.3909309,be,1.67,16.397,>16.397,99.990,0.529,0.212,V
2456918.88888,2014-09-18.3924537,be,1.67,16.457,>16.457,99.990,0.301,0.200,V
2456922.89348,2014-09-22.3967957,bf,1.38,16.422,>16.422,99.990,-0.401,0.207,V
2456923.88951,2014-09-23.3927619,bf,1.45,16.347,>16.347,99.990,0.260,0.222,V
2456923.89101,2014-09-23.3942555,bf,1.50,16.471,>16.471,99.990,0.700,0.198,V
2456924.88697,2014-09-24.3901424,bf,1.44,16.689,>16.689,99.990,0.591,0.162,V
2456924.88848,2014-09-24.3916521,bf,1.48,16.524,>16.524,99.990,0.792,0.189,V
2456932.87236,2014-10-02.3749508,bf,1.61,16.671,>16.671,99.990,0.398,0.165,V
