 ! Swift/XRT detailed lightcurve of trigger: 14365, name: 4U 1730-22 
 ! T0 for this burst is Swift MET=644835745.2006 s, = 2021 Jun 08 at 09:01:58.041 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
1651663.339	111.842	-111.842	9.604187e+00	2.224826e-01	-2.224772e-01	2.831959e-01	3.146621e-02	1.000000
1881809.300	364.500	-364.500	1.139715e+01	1.364437e-01	-1.364403e-01	3.017835e-01	1.676575e-02	1.000000
3465182.350	32.050	-32.050	2.355038e+01	6.530787e-01	-6.552194e-01	5.190550e-01	7.415071e-02	1.000000
4106839.505	10.062	-10.062	4.661413e+00	5.637717e-01	-5.637434e-01	4.041657e-01	1.278084e-01	1.000000
4938362.418	451.982	-451.982	1.078461e+01	1.564848e-01	-1.524937e-01	5.317024e-01	2.329430e-02	0.881631
5859961.201	152.569	-152.569	6.681505e+00	1.650168e-01	-1.649466e-01	3.359600e-01	3.054182e-02	1.000000
NO	NO	NO	NO	NO
! PC data
297.910	226.911	-226.911	2.565167e+00	1.532901e-01	-1.532901e-01	7.612434e-03	7.161175e-04	1.000000
48781.458	3036.238	-3036.238	2.589938e+00	8.270829e-02	-8.270829e-02	6.186237e-03	3.029413e-04	0.322472
307121.474	2991.657	-2991.657	2.961704e+00	9.929548e-02	-9.929548e-02	7.888356e-03	4.128954e-04	0.224191
458782.170	6011.586	-6011.586	2.702015e+00	7.358257e-02	-7.358257e-02	6.864305e-03	3.193564e-04	0.147646
1176370.860	382.363	-382.363	5.489887e+00	2.129900e-01	-2.129900e-01	8.181874e-03	5.541464e-04	1.000000
2243000.310	432.509	-432.509	3.665327e+01	8.950854e-01	-8.950854e-01	3.180794e-02	8.708785e-04	1.000000
4107182.199	330.964	-330.964	5.342165e+00	2.215494e-01	-2.215494e-01	1.242921e-02	7.414645e-04	1.000000
5262137.171	9075.148	-9075.148	8.676927e+00	3.036894e-01	-3.036894e-01	1.375209e-02	6.841923e-04	0.043100
5860534.161	418.721	-418.721	6.156830e+00	1.964359e-01	-1.964359e-01	1.224235e-02	6.591058e-04	0.997001
30853674.536	14258.892	-14258.892	4.508787e+01	1.301075e+00	-1.301075e+00	5.357200e-02	1.658012e-03	0.015386
31934346.397	387.378	-387.378	4.505879e+01	1.040296e+00	-1.040296e+00	4.249445e-02	1.067713e-03	1.000000
32197986.146	325.949	-325.949	4.247109e+01	1.033947e+00	-1.033947e+00	4.568328e-02	1.261218e-03	1.000000
33601488.303	17623.698	-17623.698	1.992945e+01	3.583111e-01	-3.583111e-01	3.010682e-02	7.012975e-04	0.045170
33979089.193	17368.590	-17368.590	1.567014e+01	3.789961e-01	-3.789961e-01	2.265493e-02	7.752358e-04	0.028078
34225973.018	17799.646	-17799.646	4.539901e+00	1.271502e-01	-1.271502e-01	1.094951e-02	4.304696e-04	0.048598
34643881.862	29251.939	-29251.939	3.854512e+00	1.694202e-01	-1.694202e-01	9.615596e-03	6.903595e-04	0.010029
34969877.419	435.017	-435.017	4.133026e+00	1.716838e-01	-1.716838e-01	7.674005e-03	5.060089e-04	1.000000
35376985.059	57667.292	-57667.292	4.531433e+00	1.519285e-01	-1.519285e-01	9.476741e-03	4.829794e-04	0.009717
35714545.004	6428.345	-6428.345	3.236340e+00	1.033590e-01	-1.033590e-01	7.292663e-03	3.525042e-04	0.124812
