 ! Swift/XRT detailed lightcurve of trigger: 10148, name: Aquila X-1 
 ! T0 for this burst is Swift MET=163383422.0006 s, = 2006 Mar 07 at 00:17:00.945 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
READ TERR 1 2
READ SERR 3
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
53808.1862900016	5.78703703703704e-05	-5.78703703703704e-05	1.262126e+00	1.895715e+00	-9.238785e-01	0.000000e+00	0.000000e+00	0.090737
53947.9081617535	5.78703703703704e-05	-5.78703703703704e-05	1.434748e+01	2.308255e+00	-2.308329e+00	4.084747e-01	2.888352e-01	0.320373
53947.9082774942	5.78703703703704e-05	-5.78703703703704e-05	1.551810e+01	1.344694e+00	-1.344862e+00	2.617284e-01	1.308642e-01	1.000000
53947.908393235	5.78703703703704e-05	-5.78703703703704e-05	1.728384e+01	1.426358e+00	-1.426569e+00	3.925926e-01	1.602753e-01	1.000000
53947.9085089757	5.78703703703704e-05	-5.78703703703704e-05	1.685605e+01	1.413544e+00	-1.413752e+00	4.580247e-01	1.731171e-01	1.000000
53947.9086247164	5.78703703703704e-05	-5.78703703703704e-05	1.860768e+01	1.462682e+00	-1.462920e+00	1.962963e-01	1.133317e-01	1.000000
53947.9087404572	5.78703703703704e-05	-5.78703703703704e-05	1.838327e+01	1.454049e+00	-1.454280e+00	1.962963e-01	1.133317e-01	1.000000
53947.9088561979	5.78703703703704e-05	-5.78703703703704e-05	1.405853e+01	1.285856e+00	-1.285998e+00	3.271605e-01	1.463106e-01	1.000000
53947.9089719387	5.78703703703704e-05	-5.78703703703704e-05	1.618845e+01	1.360657e+00	-1.360812e+00	1.308642e-01	9.253496e-02	1.000000
53947.9090876794	5.78703703703704e-05	-5.78703703703704e-05	1.499495e+01	1.300260e+00	-1.300403e+00	0.000000e+00	0.000000e+00	1.000000
53947.9092034201	5.78703703703704e-05	-5.78703703703704e-05	1.488392e+01	1.326682e+00	-1.326811e+00	1.962963e-01	1.133317e-01	1.000000
53947.9093191609	5.78703703703704e-05	-5.78703703703704e-05	1.567710e+01	1.380982e+00	-1.381125e+00	3.925926e-01	1.602753e-01	1.000000
53947.9094349016	5.78703703703704e-05	-5.78703703703704e-05	1.760527e+01	1.422079e+00	-1.422234e+00	6.543210e-02	6.543210e-02	1.000000
53947.9095506424	5.78703703703704e-05	-5.78703703703704e-05	1.562805e+01	1.371357e+00	-1.371482e+00	3.925926e-01	1.602753e-01	1.000000
53947.9096663831	5.78703703703704e-05	-5.78703703703704e-05	1.568271e+01	1.381473e+00	-1.381608e+00	3.925926e-01	1.602753e-01	1.000000
53947.9097821238	5.78703703703704e-05	-5.78703703703704e-05	1.355052e+01	1.266009e+00	-1.266121e+00	1.308642e-01	9.253496e-02	1.000000
53947.9098978646	5.78703703703704e-05	-5.78703703703704e-05	1.680764e+01	1.423025e+00	-1.423176e+00	3.271605e-01	1.463106e-01	1.000000
53947.9100136053	5.78703703703704e-05	-5.78703703703704e-05	1.599241e+01	1.389253e+00	-1.389387e+00	3.271605e-01	1.463106e-01	1.000000
53947.9101293461	5.78703703703704e-05	-5.78703703703704e-05	1.711261e+01	1.430182e+00	-1.430342e+00	2.617284e-01	1.308642e-01	1.000000
53947.9102450868	5.78703703703704e-05	-5.78703703703704e-05	1.671686e+01	1.408540e+00	-1.408687e+00	1.962963e-01	1.133317e-01	1.000000
53947.9103608275	5.78703703703704e-05	-5.78703703703704e-05	1.835469e+01	1.475014e+00	-1.475190e+00	1.962963e-01	1.133317e-01	1.000000
53947.9104765683	5.78703703703704e-05	-5.78703703703704e-05	1.781117e+01	1.458345e+00	-1.458513e+00	2.617284e-01	1.308642e-01	1.000000
53947.910592309	5.78703703703704e-05	-5.78703703703704e-05	1.703393e+01	1.416787e+00	-1.416942e+00	1.308642e-01	9.253496e-02	1.000000
53947.9107080498	5.78703703703704e-05	-5.78703703703704e-05	1.590923e+01	1.375073e+00	-1.375211e+00	1.962963e-01	1.133317e-01	1.000000
53947.9108237905	5.78703703703704e-05	-5.78703703703704e-05	1.869232e+01	1.458467e+00	-1.458657e+00	6.543210e-02	6.543210e-02	1.000000
53947.9109395312	5.78703703703704e-05	-5.78703703703704e-05	2.237598e+01	1.640172e+00	-1.640398e+00	4.580247e-01	1.731171e-01	1.000000
53947.911055272	5.78703703703704e-05	-5.78703703703704e-05	1.538946e+01	1.331663e+00	-1.331800e+00	1.308642e-01	9.253496e-02	1.000000
53947.9111710127	5.78703703703704e-05	-5.78703703703704e-05	1.456696e+01	1.321363e+00	-1.321484e+00	3.271605e-01	1.463106e-01	1.000000
53947.9112867535	5.78703703703704e-05	-5.78703703703704e-05	1.715318e+01	1.436932e+00	-1.437085e+00	3.271605e-01	1.463106e-01	1.000000
53947.9114024942	5.78703703703704e-05	-5.78703703703704e-05	1.776663e+01	1.451368e+00	-1.451531e+00	1.962963e-01	1.133317e-01	1.000000
53947.911518235	5.78703703703704e-05	-5.78703703703704e-05	1.552204e+01	1.369185e+00	-1.369324e+00	3.271605e-01	1.463106e-01	1.000000
53947.9116339757	5.78703703703704e-05	-5.78703703703704e-05	1.698886e+01	1.409567e+00	-1.409726e+00	6.543210e-02	6.543210e-02	1.000000
53947.9117497164	5.78703703703704e-05	-5.78703703703704e-05	1.579478e+01	1.356617e+00	-1.356748e+00	1.308642e-01	9.253496e-02	1.000000
53947.9118654572	5.78703703703704e-05	-5.78703703703704e-05	1.405846e+01	1.271399e+00	-1.271514e+00	6.543210e-02	6.543210e-02	1.000000
53947.9119811979	5.78703703703704e-05	-5.78703703703704e-05	1.754364e+01	1.457724e+00	-1.457880e+00	3.925926e-01	1.602753e-01	1.000000
53947.9120969387	5.78703703703704e-05	-5.78703703703704e-05	1.637565e+01	1.394713e+00	-1.394851e+00	1.962963e-01	1.133317e-01	1.000000
53947.9122126794	5.78703703703704e-05	-5.78703703703704e-05	1.633840e+01	1.388039e+00	-1.388182e+00	1.308642e-01	9.253496e-02	1.000000
53947.9123284201	5.78703703703704e-05	-5.78703703703704e-05	1.696014e+01	1.434166e+00	-1.434320e+00	3.925926e-01	1.602753e-01	1.000000
53947.9124441609	5.78703703703704e-05	-5.78703703703704e-05	1.703252e+01	1.431851e+00	-1.432007e+00	3.271605e-01	1.463106e-01	1.000000
53947.9125599016	5.78703703703704e-05	-5.78703703703704e-05	1.534612e+01	1.331381e+00	-1.331513e+00	1.962963e-01	1.133317e-01	1.000000
53947.9126756424	5.78703703703704e-05	-5.78703703703704e-05	1.729631e+01	1.435550e+00	-1.435707e+00	2.617284e-01	1.308642e-01	1.000000
53947.9127913831	5.78703703703704e-05	-5.78703703703704e-05	1.521112e+01	1.345206e+00	-1.345331e+00	1.962963e-01	1.133317e-01	1.000000
