 ! Swift/XRT detailed lightcurve of trigger: 11500, name: EXO 1846-031 
 ! T0 for this burst is Swift MET=343499762.00058 s, = 2011 Nov 20 at 16:35:54.407 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
READ TERR 1 2
READ SERR 3
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
58697.2560756109	5.78703703703704e-05	-5.78703703703704e-05	4.159548e+01	2.180173e+00	-2.180165e+00	5.474359e-01	2.069113e-01	1.000000
58697.2561913516	5.78703703703704e-05	-5.78703703703704e-05	4.141466e+01	2.179996e+00	-2.179989e+00	6.256410e-01	2.211975e-01	1.000000
58697.2563070924	5.78703703703704e-05	-5.78703703703704e-05	3.923058e+01	2.100480e+00	-2.100472e+00	7.038462e-01	2.346154e-01	1.000000
58697.2564228331	5.78703703703704e-05	-5.78703703703704e-05	4.122659e+01	2.140377e+00	-2.140368e+00	5.474359e-01	2.069113e-01	1.000000
58697.2565385738	5.78703703703704e-05	-5.78703703703704e-05	3.531980e+01	1.993614e+00	-1.993606e+00	7.038462e-01	2.346154e-01	1.000000
58697.2566543146	5.78703703703704e-05	-5.78703703703704e-05	3.752224e+01	2.076434e+00	-2.076426e+00	1.173077e+00	3.028872e-01	1.000000
58697.2567700553	5.78703703703704e-05	-5.78703703703704e-05	4.059763e+01	2.109132e+00	-2.109122e+00	2.346154e-01	1.354553e-01	1.000000
58697.2568857961	5.78703703703704e-05	-5.78703703703704e-05	4.069916e+01	2.146252e+00	-2.146243e+00	9.384615e-01	2.709105e-01	1.000000
58697.2570015368	5.78703703703704e-05	-5.78703703703704e-05	3.876736e+01	2.100672e+00	-2.100664e+00	1.016667e+00	2.819726e-01	1.000000
58697.2571172775	5.78703703703704e-05	-5.78703703703704e-05	4.028447e+01	2.145131e+00	-2.145123e+00	8.602564e-01	2.593771e-01	1.000000
58697.2572330183	5.78703703703704e-05	-5.78703703703704e-05	4.378573e+01	2.225783e+00	-2.225773e+00	5.474359e-01	2.069113e-01	1.000000
58697.257348759	5.78703703703704e-05	-5.78703703703704e-05	4.018190e+01	2.121261e+00	-2.121253e+00	7.038462e-01	2.346154e-01	1.000000
58697.2574644998	5.78703703703704e-05	-5.78703703703704e-05	3.801502e+01	2.065178e+00	-2.065171e+00	7.038462e-01	2.346154e-01	1.000000
58697.2575802405	5.78703703703704e-05	-5.78703703703704e-05	3.721795e+01	2.019876e+00	-2.019868e+00	2.346154e-01	1.354553e-01	1.000000
58697.2576959813	5.78703703703704e-05	-5.78703703703704e-05	4.192876e+01	2.150246e+00	-2.150237e+00	3.910256e-01	1.748720e-01	1.000000
58697.257811722	5.78703703703704e-05	-5.78703703703704e-05	3.755856e+01	2.049198e+00	-2.049190e+00	6.256410e-01	2.211975e-01	1.000000
58697.2579274627	5.78703703703704e-05	-5.78703703703704e-05	3.887482e+01	2.068012e+00	-2.068004e+00	3.128205e-01	1.564103e-01	1.000000
58697.2580432035	5.78703703703704e-05	-5.78703703703704e-05	4.096764e+01	2.145151e+00	-2.145142e+00	7.820513e-01	2.473063e-01	1.000000
58697.2581589442	5.78703703703704e-05	-5.78703703703704e-05	3.776082e+01	2.070379e+00	-2.070371e+00	9.384615e-01	2.709105e-01	1.000000
58697.258274685	5.78703703703704e-05	-5.78703703703704e-05	3.501376e+01	2.008544e+00	-2.008538e+00	7.038462e-01	2.346154e-01	1.000000
58697.2583904257	5.78703703703704e-05	-5.78703703703704e-05	3.370390e+01	1.935002e+00	-1.934996e+00	3.128205e-01	1.564103e-01	1.000000
58697.2585061664	5.78703703703704e-05	-5.78703703703704e-05	3.757013e+01	2.069407e+00	-2.069399e+00	1.016667e+00	2.819726e-01	1.000000
58697.2586219072	5.78703703703704e-05	-5.78703703703704e-05	3.552441e+01	1.998811e+00	-1.998804e+00	7.038462e-01	2.346154e-01	1.000000
58697.2587376479	5.78703703703704e-05	-5.78703703703704e-05	3.664506e+01	2.016825e+00	-2.016818e+00	4.692308e-01	1.915627e-01	1.000000
58697.2588533887	5.78703703703704e-05	-5.78703703703704e-05	3.944937e+01	2.106417e+00	-2.106409e+00	7.820513e-01	2.473063e-01	1.000000
58697.2589691294	5.78703703703704e-05	-5.78703703703704e-05	3.423750e+01	1.984437e+00	-1.984431e+00	1.094872e+00	2.926168e-01	1.000000
58697.2590848701	5.78703703703704e-05	-5.78703703703704e-05	4.132973e+01	2.142846e+00	-2.142838e+00	5.474359e-01	2.069113e-01	1.000000
58697.2592006109	5.78703703703704e-05	-5.78703703703704e-05	3.827148e+01	2.060086e+00	-2.060078e+00	4.692308e-01	1.915627e-01	1.000000
58697.2593163516	5.78703703703704e-05	-5.78703703703704e-05	3.849580e+01	2.085612e+00	-2.085605e+00	8.602564e-01	2.593771e-01	1.000000
58697.2594320924	5.78703703703704e-05	-5.78703703703704e-05	3.404181e+01	1.945552e+00	-1.945546e+00	4.692308e-01	1.915627e-01	1.000000
58697.2595478331	5.78703703703704e-05	-5.78703703703704e-05	3.938666e+01	2.112514e+00	-2.112506e+00	9.384615e-01	2.709105e-01	1.000000
58697.2596635738	5.78703703703704e-05	-5.78703703703704e-05	4.343268e+01	2.202734e+00	-2.202724e+00	7.038462e-01	2.346154e-01	1.000000
58697.2597793146	5.78703703703704e-05	-5.78703703703704e-05	3.989693e+01	2.102405e+00	-2.102397e+00	4.692308e-01	1.915627e-01	1.000000
58697.2598950553	5.78703703703704e-05	-5.78703703703704e-05	4.329713e+01	2.195583e+00	-2.195574e+00	6.256410e-01	2.211975e-01	1.000000
58697.2600107961	5.78703703703704e-05	-5.78703703703704e-05	3.253734e+01	1.924634e+00	-1.924627e+00	8.602564e-01	2.593771e-01	1.000000
58697.2601265368	5.78703703703704e-05	-5.78703703703704e-05	4.324009e+01	2.201721e+00	-2.201712e+00	7.820513e-01	2.473063e-01	1.000000
58697.2602422775	5.78703703703704e-05	-5.78703703703704e-05	3.595686e+01	2.010472e+00	-2.010465e+00	7.038462e-01	2.346154e-01	1.000000
58697.2603580183	5.78703703703704e-05	-5.78703703703704e-05	4.121822e+01	2.139941e+00	-2.139932e+00	5.474359e-01	2.069113e-01	1.000000
58697.260473759	5.78703703703704e-05	-5.78703703703704e-05	3.967935e+01	2.096767e+00	-2.096759e+00	4.692308e-01	1.915627e-01	1.000000
58697.2605894998	5.78703703703704e-05	-5.78703703703704e-05	3.804178e+01	2.069923e+00	-2.069915e+00	7.820513e-01	2.473063e-01	1.000000
58697.2607052405	5.78703703703704e-05	-5.78703703703704e-05	3.636990e+01	2.017617e+00	-2.017610e+00	6.256410e-01	2.211975e-01	1.000000
58697.2608209812	5.78703703703704e-05	-5.78703703703704e-05	3.819695e+01	2.081839e+00	-2.081831e+00	9.384615e-01	2.709105e-01	1.000000
58697.260936722	5.78703703703704e-05	-5.78703703703704e-05	3.838138e+01	2.063017e+00	-2.063009e+00	4.692308e-01	1.915627e-01	1.000000
58697.2610524627	5.78703703703704e-05	-5.78703703703704e-05	3.452429e+01	2.004504e+00	-2.004498e+00	1.329487e+00	3.224480e-01	1.000000
58697.2611682035	5.78703703703704e-05	-5.78703703703704e-05	3.623800e+01	2.010010e+00	-2.010003e+00	5.474359e-01	2.069113e-01	1.000000
58697.2612839442	5.78703703703704e-05	-5.78703703703704e-05	3.900768e+01	2.075459e+00	-2.075450e+00	3.910256e-01	1.748720e-01	1.000000
58697.261399685	5.78703703703704e-05	-5.78703703703704e-05	3.641540e+01	2.026873e+00	-2.026866e+00	7.820513e-01	2.473063e-01	1.000000
58697.2615154257	5.78703703703704e-05	-5.78703703703704e-05	3.723211e+01	2.296426e+00	-2.296420e+00	1.065915e+00	3.213856e-01	0.807059
58697.5934598701	5.78703703703704e-05	-5.78703703703704e-05	4.316548e+01	2.292659e+00	-2.292637e+00	1.161630e+00	3.104587e-01	0.942531
58697.5935756109	5.78703703703704e-05	-5.78703703703704e-05	4.001905e+01	2.165211e+00	-2.165190e+00	9.384615e-01	2.709105e-01	1.000000
58697.5936913516	5.78703703703704e-05	-5.78703703703704e-05	4.259092e+01	2.194196e+00	-2.194171e+00	7.038462e-01	2.346154e-01	1.000000
58697.5938070924	5.78703703703704e-05	-5.78703703703704e-05	3.687890e+01	2.040979e+00	-2.040957e+00	2.346154e-01	1.354553e-01	1.000000
58697.5939228331	5.78703703703704e-05	-5.78703703703704e-05	3.931603e+01	2.159244e+00	-2.159219e+00	1.094872e+00	2.926168e-01	1.000000
58697.5940385738	5.78703703703704e-05	-5.78703703703704e-05	3.630023e+01	2.039307e+00	-2.039283e+00	7.038462e-01	2.346154e-01	1.000000
58697.5941543146	5.78703703703704e-05	-5.78703703703704e-05	3.605960e+01	2.029419e+00	-2.029394e+00	8.602564e-01	2.593771e-01	1.000000
58697.5942700553	5.78703703703704e-05	-5.78703703703704e-05	4.415426e+01	2.221773e+00	-2.221740e+00	5.474359e-01	2.069113e-01	1.000000
58697.5943857961	5.78703703703704e-05	-5.78703703703704e-05	4.038844e+01	2.274351e+00	-2.274324e+00	3.597436e+00	5.304130e-01	1.000000
58697.5945015368	5.78703703703704e-05	-5.78703703703704e-05	4.119336e+01	2.178446e+00	-2.178416e+00	9.384615e-01	2.709105e-01	1.000000
