 ! Swift/XRT detailed lightcurve of trigger: 15208, name: MAXI J1816-195 
 ! T0 for this burst is Swift MET=519815462.0006 s, = 2017 Jun 22 at 09:10:42.746 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
READ TERR 1 2
READ SERR 3
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
59738.1273812766	5.78703703703704e-05	-5.78703703703704e-05	3.992431e+01	2.141030e+00	-2.143637e+00	3.209877e-01	1.435500e-01	1.000000
59738.1274970174	5.78703703703704e-05	-5.78703703703704e-05	4.243500e+01	2.227307e+00	-2.232332e+00	5.777778e-01	1.925926e-01	1.000000
59738.1276127581	5.78703703703704e-05	-5.78703703703704e-05	3.820101e+01	2.129489e+00	-2.135283e+00	7.703704e-01	2.223868e-01	1.000000
59738.1277284988	5.78703703703704e-05	-5.78703703703704e-05	4.602899e+01	2.352965e+00	-2.361821e+00	5.135802e-01	1.815780e-01	1.000000
59738.1278442396	5.78703703703704e-05	-5.78703703703704e-05	4.295601e+01	2.261369e+00	-2.268209e+00	7.061728e-01	2.129191e-01	1.000000
59738.1279599803	5.78703703703704e-05	-5.78703703703704e-05	4.468849e+01	2.297121e+00	-2.303344e+00	7.703704e-01	2.223868e-01	1.000000
59738.1280757211	5.78703703703704e-05	-5.78703703703704e-05	4.432770e+01	2.288272e+00	-2.293674e+00	8.345679e-01	2.314675e-01	1.000000
59738.1281914618	5.78703703703704e-05	-5.78703703703704e-05	4.375326e+01	2.274296e+00	-2.278385e+00	5.135802e-01	1.815780e-01	1.000000
59738.1283072025	5.78703703703704e-05	-5.78703703703704e-05	4.561538e+01	2.353943e+00	-2.357617e+00	8.987654e-01	2.402052e-01	1.000000
59738.1284229433	5.78703703703704e-05	-5.78703703703704e-05	4.049665e+01	2.227868e+00	-2.230612e+00	1.283951e+00	2.871001e-01	1.000000
59738.128538684	5.78703703703704e-05	-5.78703703703704e-05	4.362011e+01	2.249649e+00	-2.252555e+00	5.777778e-01	1.925926e-01	1.000000
59738.1286544248	5.78703703703704e-05	-5.78703703703704e-05	4.314101e+01	2.252666e+00	-2.255705e+00	8.987654e-01	2.402052e-01	1.000000
59738.1287701655	5.78703703703704e-05	-5.78703703703704e-05	4.408552e+01	2.261558e+00	-2.264383e+00	5.777778e-01	1.925926e-01	1.000000
59738.1288859062	5.78703703703704e-05	-5.78703703703704e-05	4.497816e+01	2.300539e+00	-2.303285e+00	9.629630e-01	2.486360e-01	1.000000
59738.129001647	5.78703703703704e-05	-5.78703703703704e-05	4.445101e+01	2.290604e+00	-2.293489e+00	1.027160e+00	2.567901e-01	1.000000
59738.1291173877	5.78703703703704e-05	-5.78703703703704e-05	4.113073e+01	2.201758e+00	-2.204381e+00	8.987654e-01	2.402052e-01	1.000000
59738.1292331285	5.78703703703704e-05	-5.78703703703704e-05	4.499889e+01	2.284776e+00	-2.287807e+00	5.777778e-01	1.925926e-01	1.000000
59738.1293488692	5.78703703703704e-05	-5.78703703703704e-05	4.282929e+01	2.262525e+00	-2.265166e+00	1.283951e+00	2.871001e-01	1.000000
59738.12946461	5.78703703703704e-05	-5.78703703703704e-05	4.014829e+01	2.179043e+00	-2.181453e+00	9.629630e-01	2.486360e-01	1.000000
59738.1295803507	5.78703703703704e-05	-5.78703703703704e-05	4.187585e+01	2.259560e+00	-2.262069e+00	1.733333e+00	3.335802e-01	1.000000
59738.1296960914	5.78703703703704e-05	-5.78703703703704e-05	4.327041e+01	2.321068e+00	-2.323756e+00	2.311111e+00	3.851852e-01	1.000000
59738.1298118322	5.78703703703704e-05	-5.78703703703704e-05	4.158575e+01	2.231406e+00	-2.234177e+00	1.283951e+00	2.871001e-01	1.000000
