 ! Swift/XRT detailed lightcurve of trigger: 10627, name: MAXI J1820070 
 ! T0 for this burst is Swift MET=542505420.0006 s, = 2018 Mar 11 at 23:56:39.391 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
READ TERR 1 2
READ SERR 3
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
58189.0221470278	5.78703703703704e-05	-5.78703703703704e-05	2.935400e+01	1.934700e+00	-1.947151e+00	6.506667e-01	2.300454e-01	1.000000
58189.0222627685	5.78703703703704e-05	-5.78703703703704e-05	3.276593e+01	2.041285e+00	-2.064576e+00	2.440000e-01	1.408735e-01	1.000000
58189.0223785093	5.78703703703704e-05	-5.78703703703704e-05	2.418838e+01	1.783783e+00	-1.805646e+00	4.066667e-01	1.818669e-01	1.000000
58189.02249425	5.78703703703704e-05	-5.78703703703704e-05	2.973500e+01	2.007837e+00	-2.048533e+00	4.066667e-01	1.818669e-01	1.000000
58189.0226099907	5.78703703703704e-05	-5.78703703703704e-05	2.134947e+01	1.680985e+00	-1.710959e+00	8.133333e-02	8.133333e-02	1.000000
58189.0227257315	5.78703703703704e-05	-5.78703703703704e-05	2.684970e+01	1.930791e+00	-1.979651e+00	8.133333e-02	8.133333e-02	1.000000
58189.0228414722	5.78703703703704e-05	-5.78703703703704e-05	2.712939e+01	2.041459e+00	-2.089993e+00	1.220000e+00	3.150026e-01	1.000000
58189.022957213	5.78703703703704e-05	-5.78703703703704e-05	6.574797e+01	3.145053e+00	-3.301866e+00	5.693333e-01	2.151878e-01	1.000000
58189.0230729537	5.78703703703704e-05	-5.78703703703704e-05	8.276926e+01	3.572423e+00	-3.800978e+00	4.880000e-01	1.992252e-01	1.000000
58189.0231886944	5.78703703703704e-05	-5.78703703703704e-05	4.352916e+01	2.462479e+00	-2.545527e+00	2.440000e-01	1.408735e-01	1.000000
58189.0233044352	5.78703703703704e-05	-5.78703703703704e-05	3.545619e+01	2.221904e+00	-2.281300e+00	5.693333e-01	2.151878e-01	1.000000
58189.0234201759	5.78703703703704e-05	-5.78703703703704e-05	3.932026e+01	2.351733e+00	-2.418490e+00	7.320000e-01	2.440000e-01	1.000000
58189.0235359167	5.78703703703704e-05	-5.78703703703704e-05	4.247535e+01	2.420808e+00	-2.491138e+00	4.066667e-01	1.818669e-01	1.000000
58189.0236516574	5.78703703703704e-05	-5.78703703703704e-05	3.739817e+01	2.297351e+00	-2.355753e+00	8.946667e-01	2.697521e-01	1.000000
58189.0237673981	5.78703703703704e-05	-5.78703703703704e-05	6.302773e+01	3.001471e+00	-3.115358e+00	8.133333e-01	2.571986e-01	1.000000
58189.0238831389	5.78703703703704e-05	-5.78703703703704e-05	3.661981e+01	2.261210e+00	-2.316575e+00	7.320000e-01	2.440000e-01	1.000000
58189.0239988796	5.78703703703704e-05	-5.78703703703704e-05	3.408322e+01	2.177240e+00	-2.222582e+00	8.946667e-01	2.697521e-01	1.000000
58189.0241146204	5.78703703703704e-05	-5.78703703703704e-05	4.534887e+01	2.495480e+00	-2.568686e+00	4.066667e-01	1.818669e-01	1.000000
58189.0242303611	5.78703703703704e-05	-5.78703703703704e-05	4.821060e+01	2.611394e+00	-2.693629e+00	8.133333e-01	2.571986e-01	1.000000
58189.0243461018	5.78703703703704e-05	-5.78703703703704e-05	3.607158e+01	2.209074e+00	-2.261018e+00	3.253333e-01	1.626667e-01	1.000000
58189.0244618426	5.78703703703704e-05	-5.78703703703704e-05	4.203670e+01	2.420849e+00	-2.495969e+00	4.880000e-01	1.992252e-01	1.000000
