 ! Swift/XRT detailed lightcurve of trigger: 13781, name: MAXI J1957032 
 ! T0 for this burst is Swift MET=453251111.4006 s, = 2015 May 13 at 23:04:57.825 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
READ TERR 1 2
READ SERR 3
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
57660.6930085741	5.78703703703704e-05	-5.78703703703704e-05	2.612880e+01	1.815634e+00	-1.815265e+00	3.851852e-01	1.572512e-01	1.000000
57660.6931243148	5.78703703703704e-05	-5.78703703703704e-05	2.483121e+01	1.775114e+00	-1.772169e+00	3.209877e-01	1.435500e-01	1.000000
57660.6932400556	5.78703703703704e-05	-5.78703703703704e-05	2.665929e+01	1.916693e+00	-1.913972e+00	2.567901e-01	1.283951e-01	1.000000
57660.6933557963	5.78703703703704e-05	-5.78703703703704e-05	2.549153e+01	1.977741e+00	-1.988703e+00	3.851852e-01	1.572512e-01	1.000000
57660.693471537	5.78703703703704e-05	-5.78703703703704e-05	2.438851e+01	2.006503e+00	-2.036742e+00	2.567901e-01	1.283951e-01	1.000000
57660.6935872778	5.78703703703704e-05	-5.78703703703704e-05	2.737139e+01	2.201835e+00	-2.251346e+00	1.925926e-01	1.111934e-01	1.000000
57660.6937030185	5.78703703703704e-05	-5.78703703703704e-05	2.439036e+01	2.071022e+00	-2.107229e+00	8.987654e-01	2.402052e-01	1.000000
57660.6938187593	5.78703703703704e-05	-5.78703703703704e-05	2.633028e+01	2.099546e+00	-2.137346e+00	6.419753e-02	6.419753e-02	1.000000
57660.6939345	5.78703703703704e-05	-5.78703703703704e-05	2.654302e+01	2.088310e+00	-2.113282e+00	4.493827e-01	1.698507e-01	1.000000
57660.6940502407	5.78703703703704e-05	-5.78703703703704e-05	2.716711e+01	2.051369e+00	-2.066877e+00	2.567901e-01	1.283951e-01	1.000000
57660.6941659815	5.78703703703704e-05	-5.78703703703704e-05	2.530817e+01	1.940959e+00	-1.952863e+00	2.567901e-01	1.283951e-01	1.000000
