 ! Swift/XRT detailed lightcurve of trigger: 13481, name: SRGt J071522.1-191609 
 ! T0 for this burst is Swift MET=609380973.4006 s, = 2020 Apr 24 at 00:29:08.577 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
READ TERR 1 2
READ SERR 3
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! PC data
58963.0219386076	0.000578703703703704	-0.000578703703703704	3.722790e-01	9.704743e-02	-9.704743e-02	1.416167e-03	5.352608e-04	1.000000
58963.023096015	0.000578703703703704	-0.000578703703703704	3.520215e-01	1.050673e-01	-8.779457e-02	2.225405e-03	6.709849e-04	1.000000
58963.0242534225	0.000578703703703704	-0.000578703703703704	2.817811e-01	8.347038e-02	-6.978538e-02	1.224878e-03	5.000543e-04	0.999977
58963.0254108299	0.000578703703703704	-0.000578703703703704	3.864670e-01	7.330780e-02	-7.330780e-02	1.029869e-03	4.605714e-04	1.000000
58963.0265682373	0.000578703703703704	-0.000578703703703704	2.482447e-01	5.892051e-02	-5.892051e-02	1.235843e-03	5.045307e-04	1.000000
58963.0277256447	0.000578703703703704	-0.000578703703703704	3.471200e-01	6.983085e-02	-6.983085e-02	1.441817e-03	5.449554e-04	1.000000
58963.0288830521	0.000578703703703704	-0.000578703703703704	4.344414e-01	8.228516e-02	-8.228516e-02	6.715292e-04	3.877075e-04	0.920171
58963.0670774965	0.000578703703703704	-0.000578703703703704	1.225649e-01	1.138015e-01	-6.961684e-02	0.000000e+00	0.000000e+00	0.199627
58963.0682349039	0.000578703703703704	-0.000578703703703704	2.032587e-01	6.324699e-02	-5.249643e-02	2.188617e-03	6.921016e-04	0.999995
58963.0693923113	0.000578703703703704	-0.000578703703703704	1.685301e-01	6.835754e-02	-5.387682e-02	8.647881e-04	4.323940e-04	1.000000
58963.0705497187	0.000578703703703704	-0.000578703703703704	3.754732e-01	8.480376e-02	-8.480376e-02	1.972439e-03	6.574797e-04	0.999985
58963.0717071262	0.000578703703703704	-0.000578703703703704	1.152458e-01	5.615957e-02	-4.259427e-02	1.720768e-03	6.083832e-04	0.999959
58963.0728645336	0.000578703703703704	-0.000578703703703704	3.094602e-01	1.178348e-01	-9.415626e-02	1.257228e-03	5.132611e-04	1.000000
58963.074021941	0.000578703703703704	-0.000578703703703704	4.540670e-01	1.404983e-01	-1.166168e-01	1.466766e-03	5.543854e-04	1.000000
58963.0751793484	0.000578703703703704	-0.000578703703703704	5.643747e-01	1.424128e-01	-1.424128e-01	1.466766e-03	5.543854e-04	1.000000
58963.0763367558	0.000578703703703704	-0.000578703703703704	3.242825e-01	1.228971e-01	-9.820130e-02	8.381519e-04	4.190759e-04	1.000000
58963.0774941632	0.000578703703703704	-0.000578703703703704	3.019286e-01	7.380455e-02	-7.380455e-02	1.312720e-03	5.359156e-04	1.000000
58963.0786515706	0.000578703703703704	-0.000578703703703704	2.461404e-01	5.528531e-02	-5.528531e-02	8.825455e-04	4.412728e-04	1.000000
58963.079808978	0.000578703703703704	-0.000578703703703704	3.231808e-01	8.380613e-02	-8.380613e-02	6.397225e-04	3.693440e-04	0.999984
58963.0809663854	0.000578703703703704	-0.000578703703703704	2.103272e-01	8.625296e-02	-6.793327e-02	1.698519e-03	6.005171e-04	0.999989
58963.0821237928	0.000578703703703704	-0.000578703703703704	2.954205e-01	7.437355e-02	-7.437355e-02	1.664150e-03	7.442307e-04	0.662910
