 ! Swift/XRT detailed lightcurve of trigger: 31918, name: Swift J1357.2-0933 
 ! T0 for this burst is Swift MET=318229049.0006 s, = 2011 Feb 01 at 04:57:22.381 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
READ TERR 1 2
READ SERR 3
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
55593.8762589421	5.78703703703704e-05	-5.78703703703704e-05	5.923537e+00	1.180657e+00	-1.155641e+00	1.283951e-01	9.078902e-02	1.000000
55593.8763746829	5.78703703703704e-05	-5.78703703703704e-05	5.736530e+00	1.405177e+00	-1.329756e+00	1.925926e-01	1.111934e-01	1.000000
55593.8764904236	5.78703703703704e-05	-5.78703703703704e-05	1.613532e+01	2.346503e+00	-2.188434e+00	0.000000e+00	0.000000e+00	1.000000
55593.8766061644	5.78703703703704e-05	-5.78703703703704e-05	1.569993e+01	3.145830e+00	-2.331192e+00	6.419753e-02	6.419753e-02	1.000000
55593.8767219051	5.78703703703704e-05	-5.78703703703704e-05	9.194609e+00	2.119042e+00	-1.744652e+00	1.283951e-01	9.078902e-02	1.000000
55593.8768376458	5.78703703703704e-05	-5.78703703703704e-05	1.116213e+01	2.434660e+00	-1.990455e+00	6.419753e-02	6.419753e-02	1.000000
55593.8769533866	5.78703703703704e-05	-5.78703703703704e-05	1.078032e+01	2.439204e+00	-1.936869e+00	1.283951e-01	9.078902e-02	1.000000
55593.8770691273	5.78703703703704e-05	-5.78703703703704e-05	1.279904e+01	2.779290e+00	-2.094856e+00	1.283951e-01	9.078902e-02	1.000000
55593.8771848681	5.78703703703704e-05	-5.78703703703704e-05	6.249227e+00	1.524911e+00	-1.321093e+00	0.000000e+00	0.000000e+00	1.000000
55593.8773006088	5.78703703703704e-05	-5.78703703703704e-05	7.332140e+00	1.609518e+00	-1.488705e+00	1.283951e-01	9.078902e-02	1.000000
55593.8774163495	5.78703703703704e-05	-5.78703703703704e-05	7.693826e+00	1.600746e+00	-1.529703e+00	6.419753e-02	6.419753e-02	1.000000
55593.8775320903	5.78703703703704e-05	-5.78703703703704e-05	1.115830e+01	1.984892e+00	-1.868649e+00	1.283951e-01	9.078902e-02	1.000000
55593.877647831	5.78703703703704e-05	-5.78703703703704e-05	9.161962e+00	1.726586e+00	-1.680353e+00	1.283951e-01	9.078902e-02	1.000000
55593.8777635718	5.78703703703704e-05	-5.78703703703704e-05	9.626543e+00	1.716396e+00	-1.690707e+00	6.419753e-02	6.419753e-02	1.000000
55593.8778793125	5.78703703703704e-05	-5.78703703703704e-05	1.313258e+01	1.990230e+00	-1.978749e+00	6.419753e-02	6.419753e-02	1.000000
55593.8779950532	5.78703703703704e-05	-5.78703703703704e-05	6.169862e+00	1.420028e+00	-1.413663e+00	1.925926e-01	1.111934e-01	1.000000
55593.878110794	5.78703703703704e-05	-5.78703703703704e-05	9.595535e+00	1.695876e+00	-1.681770e+00	6.419753e-02	6.419753e-02	1.000000
55593.8782265347	5.78703703703704e-05	-5.78703703703704e-05	1.000278e+01	1.724416e+00	-1.693333e+00	0.000000e+00	0.000000e+00	1.000000
55593.8783422755	5.78703703703704e-05	-5.78703703703704e-05	1.383221e+01	2.025749e+00	-2.008299e+00	0.000000e+00	0.000000e+00	1.000000
55593.8784580162	5.78703703703704e-05	-5.78703703703704e-05	1.286219e+01	2.010301e+00	-1.989159e+00	1.925926e-01	1.111934e-01	1.000000
55593.8785737569	5.78703703703704e-05	-5.78703703703704e-05	8.916095e+00	1.695799e+00	-1.671128e+00	1.925926e-01	1.111934e-01	1.000000
55593.8786894977	5.78703703703704e-05	-5.78703703703704e-05	1.265452e+01	1.996254e+00	-1.940836e+00	6.419753e-02	6.419753e-02	1.000000
55593.8788052384	5.78703703703704e-05	-5.78703703703704e-05	7.195252e+00	1.596067e+00	-1.571468e+00	3.209877e-01	1.435500e-01	1.000000
55593.8789209792	5.78703703703704e-05	-5.78703703703704e-05	8.086268e+00	1.625395e+00	-1.598679e+00	1.925926e-01	1.111934e-01	1.000000
55593.8790367199	5.78703703703704e-05	-5.78703703703704e-05	1.170409e+01	1.949814e+00	-1.904936e+00	1.925926e-01	1.111934e-01	1.000000
