 ! Swift/XRT detailed lightcurve of trigger: 10955, name: Swift J1858.6-0814 
 ! T0 for this burst is Swift MET=562861999.80058 s, = 2018 Nov 02 at 14:32:57.946 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
READ TERR 1 2
READ SERR 3
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
58532.3821054604	5.78703703703704e-05	-5.78703703703704e-05	2.400881e+01	1.664448e+00	-1.664445e+00	7.820513e-01	2.473063e-01	1.000000
58532.3822212012	5.78703703703704e-05	-5.78703703703704e-05	6.319395e+00	8.380789e-01	-8.380785e-01	7.820513e-02	7.820513e-02	1.000000
58532.3823369419	5.78703703703704e-05	-5.78703703703704e-05	2.750062e+00	1.970878e+00	-1.327363e+00	0.000000e+00	0.000000e+00	0.118412
58532.4272443493	5.78703703703704e-05	-5.78703703703704e-05	1.279258e+00	5.539190e-01	-4.292828e-01	0.000000e+00	0.000000e+00	0.612188
58550.9040950669	5.78703703703704e-05	-5.78703703703704e-05	1.224035e+00	4.699349e-01	-3.799050e-01	9.332675e-02	9.332675e-02	0.837971
58550.9098821039	5.78703703703704e-05	-5.78703703703704e-05	8.884925e+00	2.287241e+00	-2.287241e+00	9.261271e-01	5.346997e-01	0.219952
58550.9099978447	5.78703703703704e-05	-5.78703703703704e-05	4.165062e+00	7.121168e-01	-7.121167e-01	2.716049e-01	1.358025e-01	1.000000
58550.9101135854	5.78703703703704e-05	-5.78703703703704e-05	1.844062e+00	7.399298e-01	-5.831846e-01	0.000000e+00	0.000000e+00	0.472002
58914.7661087729	5.78703703703704e-05	-5.78703703703704e-05	2.388343e+01	5.211794e+00	-5.211795e+00	0.000000e+00	0.000000e+00	0.095746
58914.7662245137	5.78703703703704e-05	-5.78703703703704e-05	2.336965e+01	1.616318e+00	-1.616317e+00	3.395062e-01	1.518318e-01	1.000000
58914.7663402544	5.78703703703704e-05	-5.78703703703704e-05	1.968922e+01	1.501792e+00	-1.501793e+00	5.432099e-01	1.920537e-01	1.000000
58914.7664559951	5.78703703703704e-05	-5.78703703703704e-05	2.167077e+01	1.587619e+00	-1.587625e+00	4.074074e-01	1.663234e-01	1.000000
58914.7665717359	5.78703703703704e-05	-5.78703703703704e-05	2.122518e+01	1.544610e+00	-1.544625e+00	2.716049e-01	1.358025e-01	1.000000
58914.7666874766	5.78703703703704e-05	-5.78703703703704e-05	1.819707e+01	1.433294e+00	-1.433313e+00	6.790123e-02	6.790123e-02	1.000000
58914.7668032174	5.78703703703704e-05	-5.78703703703704e-05	2.015978e+01	1.517922e+00	-1.517945e+00	1.358025e-01	9.602685e-02	1.000000
58914.7669189581	5.78703703703704e-05	-5.78703703703704e-05	1.995587e+01	1.490793e+00	-1.490808e+00	6.790123e-02	6.790123e-02	1.000000
58914.7670346988	5.78703703703704e-05	-5.78703703703704e-05	2.289109e+01	1.618414e+00	-1.618429e+00	3.395062e-01	1.518318e-01	1.000000
58914.7671504396	5.78703703703704e-05	-5.78703703703704e-05	2.089196e+01	1.527010e+00	-1.527020e+00	6.790123e-02	6.790123e-02	1.000000
58914.7672661803	5.78703703703704e-05	-5.78703703703704e-05	2.257753e+01	1.604279e+00	-1.604285e+00	3.395062e-01	1.518318e-01	1.000000
58914.7673819211	5.78703703703704e-05	-5.78703703703704e-05	2.287523e+01	1.604005e+00	-1.604009e+00	1.358025e-01	9.602685e-02	1.000000
58914.7674976618	5.78703703703704e-05	-5.78703703703704e-05	2.078872e+01	1.525003e+00	-1.525007e+00	2.716049e-01	1.358025e-01	1.000000
58914.7676134025	5.78703703703704e-05	-5.78703703703704e-05	2.104030e+01	1.538343e+00	-1.538345e+00	3.395062e-01	1.518318e-01	1.000000
58914.7677291433	5.78703703703704e-05	-5.78703703703704e-05	2.034980e+01	1.509126e+00	-1.509129e+00	2.716049e-01	1.358025e-01	1.000000
58914.767844884	5.78703703703704e-05	-5.78703703703704e-05	2.286432e+01	1.597617e+00	-1.597621e+00	2.716049e-01	1.358025e-01	1.000000
58914.7679606248	5.78703703703704e-05	-5.78703703703704e-05	1.889876e+01	1.451143e+00	-1.451146e+00	2.037037e-01	1.176084e-01	1.000000
58914.7680763655	5.78703703703704e-05	-5.78703703703704e-05	1.790910e+01	1.427672e+00	-1.427675e+00	4.074074e-01	1.663234e-01	1.000000
58914.7681921062	5.78703703703704e-05	-5.78703703703704e-05	1.983783e+01	1.495006e+00	-1.495009e+00	3.395062e-01	1.518318e-01	1.000000
58914.768307847	5.78703703703704e-05	-5.78703703703704e-05	2.228235e+01	1.573251e+00	-1.573254e+00	2.037037e-01	1.176084e-01	1.000000
58914.7684235877	5.78703703703704e-05	-5.78703703703704e-05	2.060683e+01	1.523007e+00	-1.523010e+00	3.395062e-01	1.518318e-01	1.000000
58914.7685393285	5.78703703703704e-05	-5.78703703703704e-05	2.053312e+01	1.524848e+00	-1.524851e+00	4.074074e-01	1.663234e-01	1.000000
58914.7686550692	5.78703703703704e-05	-5.78703703703704e-05	2.038648e+01	1.515012e+00	-1.515015e+00	3.395062e-01	1.518318e-01	1.000000
58914.76877081	5.78703703703704e-05	-5.78703703703704e-05	1.914952e+01	1.465094e+00	-1.465096e+00	2.716049e-01	1.358025e-01	1.000000
58914.7688865507	5.78703703703704e-05	-5.78703703703704e-05	2.079087e+01	1.525161e+00	-1.525165e+00	2.716049e-01	1.358025e-01	1.000000
58914.7690022914	5.78703703703704e-05	-5.78703703703704e-05	2.129843e+01	1.552043e+00	-1.552046e+00	4.074074e-01	1.663234e-01	1.000000
58914.7691180322	5.78703703703704e-05	-5.78703703703704e-05	2.035416e+01	1.509450e+00	-1.509453e+00	2.716049e-01	1.358025e-01	1.000000
58914.7692337729	5.78703703703704e-05	-5.78703703703704e-05	2.351782e+01	1.632433e+00	-1.632438e+00	4.753086e-01	1.796498e-01	1.000000
58914.7693495137	5.78703703703704e-05	-5.78703703703704e-05	1.824169e+01	1.426131e+00	-1.426134e+00	2.037037e-01	1.176084e-01	1.000000
58914.7694652544	5.78703703703704e-05	-5.78703703703704e-05	1.936284e+01	1.500602e+00	-1.500605e+00	6.790123e-01	2.147226e-01	1.000000
58914.7695809951	5.78703703703704e-05	-5.78703703703704e-05	1.976681e+01	1.497083e+00	-1.497086e+00	4.074074e-01	1.663234e-01	1.000000
58914.7696967359	5.78703703703704e-05	-5.78703703703704e-05	1.913277e+01	1.519170e+00	-1.519173e+00	1.086420e+00	2.716049e-01	1.000000
58914.7698124766	5.78703703703704e-05	-5.78703703703704e-05	2.118915e+01	1.534798e+00	-1.534801e+00	2.037037e-01	1.176084e-01	1.000000
58914.7699282174	5.78703703703704e-05	-5.78703703703704e-05	2.180996e+01	1.552375e+00	-1.552378e+00	1.358025e-01	9.602685e-02	1.000000
58914.7700439581	5.78703703703704e-05	-5.78703703703704e-05	2.013200e+01	1.501249e+00	-1.501251e+00	2.716049e-01	1.358025e-01	1.000000
58914.7701596988	5.78703703703704e-05	-5.78703703703704e-05	2.184734e+01	1.558145e+00	-1.558149e+00	2.037037e-01	1.176084e-01	1.000000
58914.7702754396	5.78703703703704e-05	-5.78703703703704e-05	2.254055e+01	1.573588e+00	-1.573591e+00	6.790123e-02	6.790123e-02	1.000000
58914.7703911803	5.78703703703704e-05	-5.78703703703704e-05	1.966302e+01	1.479613e+00	-1.479616e+00	2.037037e-01	1.176084e-01	1.000000
58914.7705069211	5.78703703703704e-05	-5.78703703703704e-05	2.024053e+01	1.518821e+00	-1.518824e+00	4.753086e-01	1.796498e-01	1.000000
58914.7706226618	5.78703703703704e-05	-5.78703703703704e-05	1.951513e+01	1.469384e+00	-1.469386e+00	1.358025e-01	9.602685e-02	1.000000
58914.7707384025	5.78703703703704e-05	-5.78703703703704e-05	2.151859e+01	1.546541e+00	-1.546545e+00	2.037037e-01	1.176084e-01	1.000000
58914.7708541433	5.78703703703704e-05	-5.78703703703704e-05	1.827175e+01	1.446186e+00	-1.446189e+00	4.753086e-01	1.796498e-01	1.000000
58914.770969884	5.78703703703704e-05	-5.78703703703704e-05	1.943745e+01	1.484954e+00	-1.484956e+00	4.074074e-01	1.663234e-01	1.000000
58914.7710856248	5.78703703703704e-05	-5.78703703703704e-05	2.144536e+01	1.548388e+00	-1.548391e+00	2.716049e-01	1.358025e-01	1.000000
58914.7712013655	5.78703703703704e-05	-5.78703703703704e-05	2.061149e+01	1.509735e+00	-1.509738e+00	1.358025e-01	9.602685e-02	1.000000
58914.7713171062	5.78703703703704e-05	-5.78703703703704e-05	2.183619e+01	1.555030e+00	-1.555033e+00	6.790123e-02	6.790123e-02	1.000000
58914.771432847	5.78703703703704e-05	-5.78703703703704e-05	1.802565e+01	1.450837e+00	-1.450840e+00	4.074074e-01	1.663234e-01	1.000000
58914.7715485877	5.78703703703704e-05	-5.78703703703704e-05	2.075900e+01	1.506021e+00	-1.506025e+00	0.000000e+00	0.000000e+00	1.000000
58914.7716643285	5.78703703703704e-05	-5.78703703703704e-05	2.071286e+01	1.540150e+00	-1.540154e+00	5.432099e-01	1.920537e-01	1.000000
58914.7717800692	5.78703703703704e-05	-5.78703703703704e-05	2.063989e+01	1.528573e+00	-1.528576e+00	4.074074e-01	1.663234e-01	1.000000
58914.77189581	5.78703703703704e-05	-5.78703703703704e-05	1.765898e+01	1.398723e+00	-1.398725e+00	1.358025e-01	9.602685e-02	1.000000
58914.7720115507	5.78703703703704e-05	-5.78703703703704e-05	1.909993e+01	1.499878e+00	-1.499881e+00	8.148148e-01	2.352168e-01	1.000000
58914.7721272914	5.78703703703704e-05	-5.78703703703704e-05	2.046608e+01	1.499894e+00	-1.499897e+00	6.790123e-02	6.790123e-02	1.000000
58914.7722430322	5.78703703703704e-05	-5.78703703703704e-05	1.936635e+01	1.487042e+00	-1.487045e+00	4.753086e-01	1.796498e-01	1.000000
58914.7723587729	5.78703703703704e-05	-5.78703703703704e-05	1.856923e+01	1.438615e+00	-1.438617e+00	2.037037e-01	1.176084e-01	1.000000
58914.7724745137	5.78703703703704e-05	-5.78703703703704e-05	1.881923e+01	1.466770e+00	-1.466773e+00	4.753086e-01	1.796498e-01	1.000000
58914.7725902544	5.78703703703704e-05	-5.78703703703704e-05	1.802267e+01	1.417697e+00	-1.417699e+00	2.037037e-01	1.176084e-01	1.000000
58914.7727059951	5.78703703703704e-05	-5.78703703703704e-05	1.991167e+01	1.506903e+00	-1.506906e+00	4.753086e-01	1.796498e-01	1.000000
58914.7728217359	5.78703703703704e-05	-5.78703703703704e-05	1.889667e+01	1.450982e+00	-1.450985e+00	2.037037e-01	1.176084e-01	1.000000
58914.7729374766	5.78703703703704e-05	-5.78703703703704e-05	2.013296e+01	1.501320e+00	-1.501322e+00	2.716049e-01	1.358025e-01	1.000000
58914.7730532174	5.78703703703704e-05	-5.78703703703704e-05	2.082538e+01	1.530828e+00	-1.530831e+00	3.395062e-01	1.518318e-01	1.000000
