 ! Swift/XRT detailed lightcurve of trigger: 32480, name: Swift J1910.2-0546 
 ! T0 for this burst is Swift MET=360254504.40058 s, = 2012 Jun 01 at 14:41:36.130 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
READ TERR 1 2
READ SERR 3
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
56082.4990984949	5.78703703703704e-05	-5.78703703703704e-05	6.245488e+02	2.307979e+01	-1.958548e+01	7.466667e+00	6.651835e-01	1.000000
56082.4992142356	5.78703703703704e-05	-5.78703703703704e-05	5.891640e+02	2.402806e+01	-1.881885e+01	6.222222e+00	6.072267e-01	1.000000
56082.4993299764	5.78703703703704e-05	-5.78703703703704e-05	6.120497e+02	3.801626e+01	-8.236735e+01	6.162963e+00	6.043282e-01	1.000000
56082.4994457171	5.78703703703704e-05	-5.78703703703704e-05	5.978124e+02	4.579455e+01	-1.141642e+02	6.637037e+00	6.271411e-01	1.000000
56082.4995614579	5.78703703703704e-05	-5.78703703703704e-05	5.368576e+02	3.768948e+01	-9.944121e+01	5.925926e+00	5.925926e-01	1.000000
56082.4996771986	5.78703703703704e-05	-5.78703703703704e-05	5.557298e+02	3.875323e+01	-1.011438e+02	5.688889e+00	5.806198e-01	1.000000
56082.4997929394	5.78703703703704e-05	-5.78703703703704e-05	5.739263e+02	4.680829e+01	-1.101103e+02	6.755556e+00	6.327157e-01	1.000000
56082.4999086801	5.78703703703704e-05	-5.78703703703704e-05	5.827548e+02	3.939685e+01	-9.328630e+01	6.696296e+00	6.299346e-01	1.000000
56082.5000244208	5.78703703703704e-05	-5.78703703703704e-05	6.011248e+02	2.277372e+01	-4.122251e+01	6.340741e+00	6.129825e-01	1.000000
56082.5001401616	5.78703703703704e-05	-5.78703703703704e-05	5.930812e+02	2.309916e+01	-1.898567e+01	5.451852e+00	5.683948e-01	1.000000
56082.5002559023	5.78703703703704e-05	-5.78703703703704e-05	5.970038e+02	2.236557e+01	-1.901327e+01	6.637037e+00	6.271411e-01	1.000000
56082.5003716431	5.78703703703704e-05	-5.78703703703704e-05	6.212477e+02	2.283348e+01	-1.920910e+01	5.985185e+00	5.955482e-01	1.000000
56082.5004873838	5.78703703703704e-05	-5.78703703703704e-05	6.139749e+02	2.273226e+01	-1.899367e+01	5.570370e+00	5.745398e-01	1.000000
56082.5006031245	5.78703703703704e-05	-5.78703703703704e-05	6.212145e+02	2.298890e+01	-1.930637e+01	7.170370e+00	6.518519e-01	1.000000
56082.5007188653	5.78703703703704e-05	-5.78703703703704e-05	6.085783e+02	2.232489e+01	-1.935738e+01	6.103704e+00	6.014158e-01	1.000000
56082.500834606	5.78703703703704e-05	-5.78703703703704e-05	6.311251e+02	2.281554e+01	-1.966265e+01	5.807407e+00	5.866367e-01	1.000000
56082.5009503468	5.78703703703704e-05	-5.78703703703704e-05	5.934218e+02	2.195290e+01	-1.889735e+01	5.274074e+00	5.590507e-01	1.000000
56082.5010660875	5.78703703703704e-05	-5.78703703703704e-05	6.013825e+02	2.260526e+01	-1.923792e+01	5.451852e+00	5.683948e-01	1.000000
56082.5011818282	5.78703703703704e-05	-5.78703703703704e-05	6.339975e+02	2.349669e+01	-1.950963e+01	6.577778e+00	6.243350e-01	1.000000
56082.501297569	5.78703703703704e-05	-5.78703703703704e-05	6.025548e+02	2.342525e+01	-1.970618e+01	6.637037e+00	6.271411e-01	1.000000
56082.5014133097	5.78703703703704e-05	-5.78703703703704e-05	5.936191e+02	2.241358e+01	-1.906992e+01	6.577778e+00	6.243350e-01	1.000000
56082.5015290505	5.78703703703704e-05	-5.78703703703704e-05	5.949661e+02	2.242391e+01	-1.883346e+01	5.333333e+00	5.621827e-01	1.000000
56082.5016447912	5.78703703703704e-05	-5.78703703703704e-05	6.024904e+02	2.280286e+01	-1.933564e+01	6.577778e+00	6.243350e-01	1.000000
56082.5017605319	5.78703703703704e-05	-5.78703703703704e-05	6.289958e+02	2.393671e+01	-1.953594e+01	6.814815e+00	6.354848e-01	1.000000
