 ! Swift/XRT detailed lightcurve of trigger: 10148, name: Aquila X-1
 ! T0 for this burst is Swift MET=163383422.0006 s, = 2006 Mar 07 at 00:17:00.945 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
619869.9808	0.4537	-0.4537	1.262126e+00	1.895715e+00	-9.238784e-01	0.000000e+00	0.000000e+00	1.000000
12692345.361	499.038	-499.038	1.668593e+01	1.411459e-01	-1.426031e-01	2.471545e-01	1.272910e-02	1.000000
12900781.402	476.598	-476.598	3.667878e+01	2.079016e-01	-2.080114e-01	4.115100e-01	1.799408e-02	1.000000
13034229.564	499.035	-499.035	4.521513e+01	5.663214e-01	-5.601006e-01	5.034907e-01	1.816816e-02	1.000000
13388238.462	276.538	-276.538	1.886106e+01	1.958080e-01	-1.957985e-01	3.676850e-01	2.181809e-02	1.000000
13567363.765	494.035	-494.035	1.017419e+01	1.099369e-01	-1.104372e-01	2.523063e-01	1.292604e-02	1.000000
13688653.584	584.017	-584.017	8.602362e+00	9.274422e-02	-9.332254e-02	1.859830e-01	1.020714e-02	1.000000
13949194.760	443.756	-443.756	3.067849e+01	2.423671e-01	-2.206152e-01	3.370778e-01	1.633147e-02	1.000000
38722213.805	81.770	-81.770	2.025494e+01	5.925896e-01	-7.397744e-01	1.064268e+00	6.525444e-02	1.000000
115955652.811	3524.789	-3524.789	5.868370e+00	5.214226e-02	-5.211317e-02	1.763829e-01	7.400862e-03	0.357243
116565439.431	499.557	-499.557	3.295504e+01	2.010320e-01	-1.989706e-01	4.249941e-01	1.745241e-02	1.000000
116646348.056	499.545	-499.545	5.282256e+01	2.708687e-01	-2.568642e-01	6.277913e-01	2.208562e-02	0.999998
116763175.943	782.056	-782.056	6.535216e+01	2.226160e-01	-2.219352e-01	7.517063e-01	1.855076e-02	1.000000
116872366.506	792.034	-792.034	1.185797e+02	1.504177e+01	-1.456644e+01	1.146915e+00	2.155946e-02	1.000000
116953230.437	759.562	-759.562	1.252736e+02	5.802758e+00	-7.697146e+00	1.373436e+00	2.409166e-02	1.000000
116988451.436	504.564	-504.564	1.224040e+02	3.887851e-01	-4.303762e-01	1.399570e+00	2.983893e-02	1.000000
117080666.713	691.839	-691.839	1.451063e+02	3.490328e-01	-3.487516e-01	1.518336e+00	2.803096e-02	1.000000
117198944.037	3132.962	-3132.962	1.579051e+02	1.873309e+00	-1.114242e+00	1.777371e+00	4.070077e-02	0.134351
117248336.318	659.482	-659.482	1.336842e+02	3.386539e-01	-3.387981e-01	1.648927e+00	2.913553e-02	1.000000
117355603.221	3191.577	-3191.577	1.626162e+02	4.953924e+00	-9.800931e-01	1.567681e+00	2.770429e-02	0.209372
117490983.799	593.971	-593.971	1.788944e+02	5.384641e+00	-1.321224e+00	1.895072e+00	3.138035e-02	1.000000
117525819.440	6197.760	-6197.760	2.000274e+02	7.622755e+00	-3.248191e+00	2.024178e+00	2.345150e-02	0.184532
117653225.196	770.357	-770.357	1.920157e+02	5.452745e+00	-1.022485e+00	1.817758e+00	2.802194e-02	0.983125
117739642.224	636.976	-636.976	1.636351e+02	6.541674e+00	-1.390174e+00	1.999601e+00	3.081418e-02	1.000000
117763007.082	484.992	-484.992	1.536678e+02	5.282462e+00	-5.227457e+00	1.898057e+00	3.678100e-02	1.000000
