 ! Swift/XRT detailed lightcurve of trigger: 11500, name: EXO 1846-031 
 ! T0 for this burst is Swift MET=343499762.00058 s, = 2011 Nov 20 at 16:35:54.407 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
242934088.538	14907.263	-14907.263	3.979772e+01	1.993271e-01	-1.991355e-01	7.477969e-01	2.262937e-02	0.038304
243191679.448	8478.751	-8478.751	7.387285e+01	2.812549e-01	-3.017188e-01	1.342243e+00	2.685023e-02	0.072131
243339837.947	3138.854	-3138.854	9.313384e+01	6.899708e+00	-6.695122e+00	1.622887e+00	2.677070e-02	0.237970
243450283.922	14592.078	-14592.078	1.060813e+02	3.782615e-01	-3.840704e-01	2.002857e+00	3.973265e-02	0.029729
243526901.437	674.564	-674.564	1.110876e+02	6.402356e-01	-5.877095e-01	2.342105e+00	3.757602e-02	1.000000
243613486.640	669.560	-669.560	1.405681e+02	3.540347e-01	-3.570881e-01	2.631633e+00	3.652932e-02	1.000000
243868341.625	2795.576	-2795.576	9.095263e+01	3.999681e-01	-3.783699e-01	2.427000e+00	3.918085e-02	0.234770
243951515.838	679.562	-679.562	8.755774e+01	2.754681e-01	-2.750485e-01	2.185401e+00	3.546122e-02	1.000000
244043371.742	367.059	-367.059	7.418028e+01	3.479876e-01	-3.469369e-01	2.262345e+00	5.006462e-02	1.000000
244129562.736	217.064	-217.064	8.606919e+01	4.910171e-01	-4.887914e-01	2.443335e+00	6.905274e-02	1.000000
244221447.401	686.999	-686.999	6.848842e+01	2.620218e-01	-2.573959e-01	2.274678e+00	3.745119e-02	1.000000
244295674.005	681.996	-681.996	7.984548e+01	2.819018e-01	-2.770320e-01	2.359690e+00	3.828426e-02	1.000000
244378487.421	3131.150	-3131.150	7.422677e+01	6.994140e-01	-6.653491e-01	2.216262e+00	4.239370e-02	0.163667
244470701.923	3313.076	-3313.076	7.676897e+01	2.748067e-01	-2.723417e-01	2.096386e+00	3.607495e-02	0.200726
244760673.422	441.978	-441.978	6.652755e+01	3.206948e-01	-3.161566e-01	2.318478e+00	4.713951e-02	1.000000
245157244.320	474.480	-474.480	7.236906e+01	3.103638e-01	-3.076054e-01	2.221261e+00	4.453223e-02	1.000000
245274088.874	3070.619	-3070.619	7.756156e+01	2.817101e-01	-2.782310e-01	2.200870e+00	3.815072e-02	0.206621
245432478.743	697.056	-697.056	9.073221e+01	2.829530e-01	-2.810009e-01	2.554150e+00	3.860188e-02	1.000000
245633237.517	699.482	-699.482	1.029895e+02	3.021608e-01	-2.995795e-01	2.655699e+00	3.955807e-02	1.000000
246872108.244	349.157	-349.157	1.121383e+02	4.418109e-01	-4.393660e-01	3.409173e+00	6.387086e-02	1.000000
247085132.556	29060.114	-29060.114	1.156686e+02	3.572240e-01	-3.566218e-01	3.162122e+00	4.748766e-02	0.018230
247376252.922	444.478	-444.478	1.040906e+02	5.457729e-01	-6.332688e-01	3.191258e+00	4.800648e-02	1.000000
252017875.479	362.321	-362.321	2.207569e+01	1.894165e-01	-1.893370e-01	8.330045e-01	2.869020e-02	1.000000
252489042.789	254.809	-254.809	1.665156e+01	1.007274e+00	-9.730087e-01	7.741202e-01	3.211592e-02	1.000000
260882061.793	454.807	-454.807	6.294695e+00	9.077813e-02	-9.077629e-02	2.993400e-01	1.494833e-02	1.000000
261224973.678	442.323	-442.323	5.176586e+00	9.788001e-02	-9.651753e-02	4.146445e-01	1.952485e-02	1.000000
261626598.591	459.808	-459.808	3.572989e+00	6.912413e-02	-6.913787e-02	2.355383e-01	1.318761e-02	1.000000
261919563.446	463.829	-463.829	2.325378e+00	5.789440e-02	-5.868299e-02	2.247129e-01	1.282504e-02	1.000000
NO	NO	NO	NO	NO
! PC data
246871676.393	37.609	-37.609	1.724745e+02	8.026381e+00	-8.026381e+00	2.093335e-01	6.970044e-03	1.000000
