 ! Swift/XRT detailed lightcurve of trigger: 10804, name: IGR J17591-2342 
 ! T0 for this burst is Swift MET=353897042.0006 s, = 2012 Mar 20 at 00:43:53.990 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! PC data
201845283.433	3542.201	-3542.201	1.281335e-01	1.427979e-02	-1.427979e-02	1.313197e-02	5.170709e-04	0.139090
202031516.542	28679.943	-28679.943	4.283057e-02	1.025112e-02	-1.025112e-02	6.498475e-03	3.444185e-04	0.010972
202999304.687	2830.507	-2830.507	1.098789e-01	1.000285e-02	-1.000285e-02	9.083650e-03	2.769200e-04	0.352111
203096702.378	3474.154	-3474.154	8.348042e-02	9.911418e-03	-9.911418e-03	7.488194e-03	2.287071e-04	0.268473
203616557.803	458.836	-458.836	1.335395e-01	1.466173e-02	-1.466173e-02	1.200678e-02	5.096596e-04	1.000000
204656814.012	14223.321	-14223.321	1.451833e-01	1.651076e-02	-1.651076e-02	1.152025e-02	5.258249e-04	0.028117
205368732.709	2683.923	-2683.923	2.171038e-01	1.906640e-02	-1.906640e-02	1.618211e-02	5.461197e-04	0.207391
205704149.109	294.608	-294.608	1.456459e-01	1.825699e-02	-1.825699e-02	1.361390e-02	6.824031e-04	1.000000
205893959.561	477.641	-477.641	1.285636e-01	1.369126e-02	-1.369126e-02	1.424743e-02	5.689877e-04	1.000000
206044049.159	447.553	-447.553	1.160502e-01	1.349124e-02	-1.349124e-02	1.173857e-02	5.152659e-04	1.000000
206364282.876	493.938	-493.938	5.701302e-02	9.255174e-03	-9.255174e-03	7.625198e-03	3.321589e-04	1.000000
206507236.593	493.938	-493.938	5.123768e-02	8.844946e-03	-8.844946e-03	6.183400e-03	2.746144e-04	1.000000
206581566.830	245.715	-245.715	2.838731e-02	1.049746e-02	-8.776394e-03	5.867041e-03	3.920082e-04	1.000000
206723664.775	2960.799	-2960.799	2.266845e-02	6.488848e-03	-6.488848e-03	3.386588e-03	1.479438e-04	0.187573
206834259.772	495.192	-495.192	9.220771e-02	1.827633e-02	-1.827633e-02	5.754414e-03	2.685931e-04	1.000000
NO	NO	NO	NO	NO
! PC upper limits
457.431	258.252	-258.252	2.3834e-02	0.0000e+00	0.0000e+00	8.4871e-04	7.1987e-05	1.0000
11978.211	258.252	-258.252	2.6893e-02	0.0000e+00	0.0000e+00	1.4259e-03	1.2138e-04	1.0000
71784914.335	101.546	-101.546	2.0997e-01	0.0000e+00	0.0000e+00	2.0611e-04	2.5564e-05	1.0000
114053376.781	498.953	-498.953	1.8467e-02	0.0000e+00	0.0000e+00	7.4189e-05	2.2369e-05	1.0000
202365428.548	228.164	-228.164	4.4867e-02	0.0000e+00	0.0000e+00	3.2173e-03	2.2525e-04	1.0000
207035276.819	478.894	-478.894	2.4931e-02	0.0000e+00	0.0000e+00	3.3349e-03	1.7085e-04	1.0000
207158739.859	2052.300	-2052.300	4.1938e-02	0.0000e+00	0.0000e+00	2.7472e-03	2.1925e-04	0.1167
207608773.167	496.445	-496.445	1.0635e-02	0.0000e+00	0.0000e+00	1.4066e-03	8.0018e-05	1.0000
207712316.145	540.323	-540.323	9.1941e-03	0.0000e+00	0.0000e+00	1.6312e-03	9.0065e-05	1.0000
207987622.045	513.997	-513.997	8.6287e-03	0.0000e+00	0.0000e+00	1.0370e-03	5.6406e-05	1.0000
208252602.177	492.684	-492.684	1.1009e-02	0.0000e+00	0.0000e+00	1.0656e-03	5.8394e-05	1.0000
208516455.056	521.518	-521.518	1.1473e-02	0.0000e+00	0.0000e+00	1.4058e-03	7.6690e-05	1.0000
208751564.601	492.684	-492.684	9.8630e-03	0.0000e+00	0.0000e+00	1.7035e-03	9.6286e-05	1.0000
209034979.352	3217.422	-3217.422	1.4201e-02	0.0000e+00	0.0000e+00	2.1221e-04	1.1509e-05	0.1718
209182088.892	466.358	-466.358	1.7960e-02	0.0000e+00	0.0000e+00	2.4446e-03	1.4823e-04	1.0000
217220480.032	216.881	-216.881	2.6198e-02	0.0000e+00	0.0000e+00	1.3252e-03	1.2812e-04	1.0000
221173604.658	477.641	-477.641	1.1055e-02	0.0000e+00	0.0000e+00	1.4959e-03	9.1550e-05	1.0000
225459462.568	433.763	-433.763	1.2270e-02	0.0000e+00	0.0000e+00	1.5620e-03	9.8204e-05	1.0000
251574442.223	393.646	-393.646	1.5480e-02	0.0000e+00	0.0000e+00	1.6486e-03	1.0575e-04	1.0000
252783162.538	73.965	-73.965	1.1101e-01	0.0000e+00	0.0000e+00	2.8000e-03	4.0000e-04	1.0000
