 ! Swift/XRT detailed lightcurve of trigger: 10030, name: MAXI J1807132
 ! T0 for this burst is Swift MET=512210564.4006 s, = 2017 Mar 26 at 08:42:25.589 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
85416.593	5077.007	-5077.007	1.183217e+00	3.034067e-02	-3.088567e-02	1.006025e-01	6.227141e-03	0.169573
77587841.403	6531.797	-6531.797	1.838789e+01	2.949072e-01	-3.122025e-01	2.366640e-01	4.814862e-03	0.501672
77796572.419	9043.770	-9043.770	1.383821e+01	9.328297e-02	-9.238094e-02	2.882563e-01	1.053266e-02	0.112357
77971570.943	12122.258	-12122.258	1.610563e+01	1.011063e-01	-1.010272e-01	2.908060e-01	1.126850e-02	0.073874
78145948.876	14687.454	-14687.454	1.405153e+01	1.018720e-01	-1.045072e-01	2.186227e-01	9.846273e-03	0.053501
78695276.418	377.382	-377.382	3.057016e+00	7.155515e-02	-7.154397e-02	2.188872e-01	1.567484e-02	1.000000
78975950.141	864.460	-864.460	7.266198e-01	2.542546e-02	-2.628525e-02	9.779175e-02	6.197301e-03	1.000000
79297618.274	377.326	-377.326	2.000237e+00	6.147409e-02	-6.145647e-02	2.660716e-01	1.728321e-02	1.000000
79898670.410	342.390	-342.390	5.462564e+00	4.922534e-01	-4.072910e-01	1.207199e-01	1.084097e-02	1.000000
80489905.308	409.892	-409.892	1.394203e+00	5.077693e-02	-5.074975e-02	2.262057e-01	1.498084e-02	1.000000
81701491.808	462.392	-462.392	4.895215e-01	3.085736e-02	-3.089517e-02	1.457798e-01	1.005976e-02	1.000000
198662760.916	794.483	-794.483	2.405924e+01	1.302608e-01	-1.302267e-01	3.208989e-01	1.256737e-02	1.000000
NO	NO	NO	NO	NO
! PC data
2177.043	2159.279	-2159.279	1.699387e+00	1.953015e-01	-1.953015e-01	5.027928e-03	8.265863e-04	0.052253
941388.521	264.520	-264.520	8.229498e-02	1.435562e-02	-1.435562e-02	1.076320e-03	1.723491e-04	1.000000
1083837.851	496.445	-496.445	6.073272e-02	8.964871e-03	-8.964871e-03	5.578838e-04	6.867075e-05	1.000000
1169662.516	461.343	-461.343	3.380531e-02	6.999834e-03	-6.999834e-03	3.678548e-04	5.423724e-05	1.000000
1239717.671	496.445	-496.445	1.887374e-02	5.065208e-03	-5.065208e-03	5.703877e-04	7.020987e-05	1.000000
1394802.809	450.060	-450.060	1.969867e-02	5.970306e-03	-4.991472e-03	4.845791e-04	6.656206e-05	1.000000
1652007.412	12046.001	-12046.001	6.422393e-02	7.563369e-03	-7.563369e-03	6.567492e-04	7.208759e-05	0.059945
1933434.835	739.653	-739.653	1.134093e-02	3.621520e-03	-3.007610e-03	3.714101e-04	4.152491e-05	1.000000
2077649.975	644.378	-644.378	3.043199e-01	2.246563e-02	-2.246563e-02	1.352972e-03	1.450538e-04	0.999997
4219037.336	236.940	-236.940	6.798727e-02	1.351777e-02	-1.351777e-02	7.429571e-04	1.516555e-04	1.000000
NO	NO	NO	NO	NO
! PC upper limits
4284.923	51.400	-51.400	3.5707e-01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000
