 ! Swift/XRT detailed lightcurve of trigger: 10627, name: MAXI J1820070 
 ! T0 for this burst is Swift MET=542505420.0006 s, = 2018 Mar 11 at 23:56:39.391 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
2723.897	614.785	-614.785	4.177489e+01	7.549432e-01	-9.750783e-01	5.682092e-01	1.938705e-02	1.000000
150515.588	488.372	-488.372	1.000837e+02	4.319876e+00	-5.096573e+00	8.792172e-01	2.383236e-02	0.999995
245832.541	3584.460	-3584.460	1.776475e+02	6.197328e+00	-3.922711e+00	1.407391e+00	1.617157e-02	0.483154
266274.211	899.609	-899.609	1.913258e+02	2.022293e+01	-1.370391e+01	1.693542e+00	2.452093e-02	0.999999
357167.716	489.883	-489.883	2.796130e+02	7.981015e+00	-2.216791e+00	2.508420e+00	4.310153e-02	0.999995
443290.208	527.391	-527.391	4.317374e+02	4.764764e+01	-6.400443e+01	3.518354e+00	4.391086e-02	0.999990
529611.093	487.307	-487.307	6.795470e+02	1.061235e+01	-2.702727e+00	4.199046e+00	4.912930e-02	0.999996
610539.008	1125.392	-1125.392	8.710218e+02	2.229656e+01	-1.066200e+01	5.051527e+00	3.145675e-02	0.999999
672887.813	492.386	-492.386	1.001326e+03	1.323977e+01	-9.830373e+00	5.320975e+00	4.860605e-02	0.999996
758920.617	497.383	-497.383	1.200001e+03	1.400962e+01	-6.492871e+00	4.279159e+00	3.977044e-02	0.998360
845991.417	547.384	-547.384	1.157015e+03	5.591187e+01	-1.314881e+02	6.452838e+00	5.009732e-02	0.999993
880546.617	492.382	-492.382	1.058041e+03	2.580469e+01	-4.058990e+01	7.560622e+00	6.329596e-02	1.000000
1018217.515	519.885	-519.885	1.260767e+03	1.410809e+01	-8.765540e+00	5.499787e+00	4.426110e-02	1.000000
1047047.393	489.804	-489.804	1.079162e+03	6.902166e+01	-1.038913e+02	9.121331e+00	7.466725e-02	1.000000
1138727.841	492.212	-492.212	1.174746e+03	1.540550e+01	-1.437315e+01	6.467122e+00	5.199216e-02	0.999997
1224767.841	492.211	-492.211	1.238370e+03	1.107517e+01	-5.338006e+00	6.161760e+00	4.972720e-02	1.000000
1338585.310	494.890	-494.890	1.147037e+03	1.059108e+01	-1.717941e+01	6.428539e+00	5.224038e-02	1.000000
1391080.508	499.891	-499.891	1.208787e+03	1.313938e+01	-7.447254e+00	4.943208e+00	4.179266e-02	0.999998
1596784.895	472.305	-472.305	9.952421e+02	7.637485e+00	-3.928956e+00	6.596802e+00	5.954917e-02	0.999996
1763163.792	474.809	-474.809	1.144133e+03	2.735991e+01	-9.910467e+00	4.806226e+00	4.329582e-02	1.000000
1849248.694	459.865	-459.865	1.074676e+03	5.078031e+01	-5.518322e+01	7.918275e+00	7.035758e-02	0.999998
1970287.695	652.305	-652.305	1.118153e+03	6.515277e+00	-4.276642e+00	6.402101e+00	4.538557e-02	1.000000
2008032.640	2985.559	-2985.559	1.075969e+03	1.143410e+01	-6.175203e+00	5.522361e+00	4.829151e-02	0.175097
2081985.295	3372.705	-3372.705	1.069964e+03	7.594790e+00	-3.281609e+00	5.575638e+00	3.602964e-02	0.293883
2236597.319	3383.081	-3383.081	1.119450e+03	5.128298e+01	-1.198195e+02	6.416136e+00	3.590434e-02	0.318024
2277199.215	25958.383	-25958.383	1.107589e+03	1.605390e+01	-6.570702e+00	6.361930e+00	5.762892e-02	0.016863
2359963.296	497.278	-497.278	1.108901e+03	9.942260e+01	-1.941912e+02	6.276815e+00	5.145968e-02	0.999996
2454605.189	3295.370	-3295.370	1.131208e+03	1.331812e+01	-5.733749e+00	4.701593e+00	2.897419e-02	0.311967
2549331.512	489.889	-489.889	1.095045e+03	1.729048e+01	-1.577097e+01	6.181296e+00	5.172678e-02	1.000000
2612479.214	577.387	-577.387	1.043333e+03	8.669057e+00	-4.159242e+00	5.735786e+00	4.787974e-02	1.000000
2687257.094	502.305	-502.305	1.093700e+03	1.648035e+02	-1.703937e+02	6.663532e+00	5.566684e-02	0.999997
2704228.312	509.888	-509.888	1.044806e+03	8.756206e+00	-4.203672e+00	5.154708e+00	4.884717e-02	0.999999
2715693.314	444.886	-444.886	1.052741e+03	2.114777e+01	-1.337197e+01	5.567526e+00	5.358595e-02	0.999998
2796128.395	469.806	-469.806	1.118037e+03	1.561241e+01	-8.624577e+00	5.774489e+00	5.150459e-02	0.999996
2876440.314	479.283	-479.283	1.058737e+03	7.975163e+00	-4.353275e+00	5.519461e+00	5.296412e-02	1.000000
2962792.317	844.882	-844.882	1.044380e+03	1.592532e+01	-2.304740e+01	4.611126e+00	3.231683e-02	1.000000
3083887.709	829.892	-829.892	1.176479e+03	1.184351e+02	-1.907440e+02	6.304195e+00	3.941123e-02	0.999997
3089037.216	842.384	-842.384	1.031003e+03	8.997442e+00	-3.027623e+00	5.563863e+00	4.080061e-02	0.999997
3095528.596	771.965	-771.965	1.077344e+03	7.640261e+00	-4.745088e+00	6.797143e+00	4.490894e-02	0.999998
3100746.712	769.888	-769.888	1.134388e+03	3.498055e+00	-3.495794e+00	5.156302e+00	3.637247e-02	1.000000
3107260.800	499.768	-499.768	1.119610e+03	4.380111e+00	-4.378351e+00	5.986338e+00	5.159295e-02	1.000000
3152235.815	822.385	-822.385	1.109161e+03	3.220048e+00	-3.217699e+00	6.714571e+00	4.604533e-02	1.000000
3176023.212	557.389	-557.389	1.007010e+03	3.546551e+00	-3.544793e+00	6.759014e+00	5.515771e-02	0.999996
3209475.822	702.378	-702.378	1.096109e+03	3.289210e+00	-3.286965e+00	6.954473e+00	4.743132e-02	0.999997
3301329.298	707.303	-707.303	1.061807e+03	3.374322e+00	-3.372268e+00	6.763077e+00	4.735914e-02	1.000000
3447505.192	3454.608	-3454.608	1.075225e+03	2.840408e+00	-2.837906e+00	6.088407e+00	3.702134e-02	0.299668
3485430.523	5900.278	-5900.278	1.043811e+03	2.535048e+00	-2.532405e+00	6.173593e+00	3.375918e-02	0.203195
3528693.411	3183.389	-3183.389	1.056997e+03	3.064135e+00	-3.061893e+00	4.837262e+00	3.190012e-02	0.313560
3619635.619	3282.181	-3282.181	1.086045e+03	3.201613e+00	-3.199348e+00	6.027439e+00	4.071665e-02	0.252552
4236981.414	5795.384	-5795.384	1.002393e+03	2.554608e+00	-2.552190e+00	6.358841e+00	3.916713e-02	0.175158
4340113.425	5144.186	-5144.186	1.011548e+03	2.763260e+00	-2.760983e+00	6.345363e+00	4.199098e-02	0.170285
4460823.001	499.761	-499.761	1.026992e+03	4.148751e+00	-4.147188e+00	4.814940e+00	4.362461e-02	1.000000
4526293.418	3524.382	-3524.382	9.882148e+02	2.256580e+00	-2.253919e+00	6.188394e+00	3.767183e-02	0.315895
4552265.010	832.389	-832.389	8.991024e+02	2.572399e+00	-2.570467e+00	7.028967e+00	4.965268e-02	0.999999
4632870.696	488.864	-488.864	8.841315e+02	3.143272e+00	-3.141743e+00	5.949798e+00	5.343077e-02	1.000000
