 ! Swift/XRT detailed lightcurve of trigger: 13781, name: MAXI J1957032 
 ! T0 for this burst is Swift MET=453251111.4006 s, = 2015 May 13 at 23:04:57.825 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
43609276.037	499.562	-499.562	2.656081e+01	8.075834e-01	-8.358943e-01	2.775765e-01	1.335490e-02	1.000000
43665990.719	23235.281	-23235.281	1.941459e+01	1.709940e-01	-1.703392e-01	3.025562e-01	1.789053e-02	0.016969
43786820.624	7.927	-7.927	4.599778e+00	5.715019e-01	-5.714998e-01	5.062599e-02	5.062599e-02	1.000000
43815328.815	15.931	-15.931	3.489764e+00	3.607444e-01	-3.607439e-01	1.472730e-01	6.012395e-02	1.000000
224091417.518	744.538	-744.538	7.826064e+00	7.747240e-02	-7.751320e-02	1.760144e-01	8.958896e-03	1.000000
NO	NO	NO	NO	NO
! PC data
5943.979	5792.184	-5792.184	5.681639e-01	2.028329e-02	-2.028329e-02	2.554250e-03	1.477161e-04	0.257561
43576.649	2936.453	-2936.453	1.990445e-01	2.626829e-02	-2.626829e-02	1.701068e-03	2.759497e-04	0.078981
149829.712	745.922	-745.922	1.204042e-02	3.758402e-03	-3.142210e-03	5.566299e-04	5.622811e-05	1.000000
524143.859	842.453	-842.453	7.843849e-03	2.819539e-03	-2.301758e-03	4.326795e-04	4.720921e-05	1.000000
12849322.688	493.938	-493.938	6.955940e-01	4.021957e-02	-4.021957e-02	2.949277e-03	3.010093e-04	1.000000
12930713.674	497.699	-497.699	6.115978e-02	8.938174e-03	-8.938174e-03	1.099698e-03	1.253222e-04	1.000000
43787018.266	188.048	-188.048	5.058861e+00	2.597505e-01	-2.597505e-01	7.481164e-03	7.799652e-04	1.000000
43838771.300	23424.861	-23424.861	1.333102e+00	5.463394e-02	-5.463394e-02	2.180914e-03	1.823772e-04	0.036874
43910272.246	2933.146	-2933.146	1.224783e-01	9.488085e-03	-9.488085e-03	9.682394e-04	9.830982e-05	0.295339
224304582.705	303.383	-303.383	5.737404e-02	1.116318e-02	-1.116318e-02	4.826787e-04	7.729044e-05	1.000000
