 ! Swift/XRT detailed lightcurve of trigger: 13481, name: SRGt J071522.1-191609 
 ! T0 for this burst is Swift MET=609380973.4006 s, = 2020 Apr 24 at 00:29:08.577 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! PC data
2730.064	2633.146	-2633.146	3.139118e-01	1.786804e-02	-1.786804e-02	1.344816e-03	1.198057e-04	0.375646
378471.445	514.000	-514.000	2.673453e-01	2.449708e-02	-2.449708e-02	1.403442e-03	1.714577e-04	0.999994
585461.042	462.598	-462.598	2.392098e-01	2.060495e-02	-2.060495e-02	2.275433e-03	2.322354e-04	0.999997
728888.310	436.270	-436.270	2.180771e-01	1.842456e-02	-1.842456e-02	1.656349e-03	1.938610e-04	1.000000
878016.198	407.437	-407.437	2.192035e-01	1.949163e-02	-1.949163e-02	1.541264e-03	2.041454e-04	0.999999
1095845.840	559.131	-559.131	2.018328e-01	1.712861e-02	-1.712861e-02	1.850376e-03	1.898445e-04	0.999994
1233548.794	555.367	-555.367	1.842916e-01	1.448307e-02	-1.448307e-02	1.832146e-03	1.796567e-04	1.000000
1416256.660	28688.836	-28688.836	1.938914e-01	1.437748e-02	-1.437748e-02	1.214096e-03	1.357400e-04	0.022373
1579734.060	14551.277	-14551.277	2.002440e-01	1.727208e-02	-1.727208e-02	1.231886e-03	1.577268e-04	0.035926
1772740.097	463.850	-463.850	1.639898e-01	1.467750e-02	-1.467750e-02	1.699697e-03	1.975858e-04	1.000000
1933551.349	453.821	-453.821	2.208539e-01	1.859579e-02	-1.859579e-02	1.616063e-03	1.891458e-04	1.000000
2156496.557	467.611	-467.611	1.201584e-01	1.303451e-02	-1.303451e-02	1.074178e-03	1.601290e-04	1.000000
2328586.853	458.836	-458.836	1.297229e-01	1.343944e-02	-1.343944e-02	2.085451e-03	2.261989e-04	1.000000
2444026.606	457.582	-457.582	1.458432e-01	1.484297e-02	-1.484297e-02	1.336364e-03	1.711039e-04	1.000000
2593068.070	456.331	-456.331	1.903335e-01	2.109505e-02	-2.109505e-02	1.969834e-03	2.064947e-04	0.999995
2798396.403	448.807	-448.807	1.156209e-01	1.273696e-02	-1.273696e-02	8.876879e-04	1.196958e-04	1.000000
2943040.848	463.850	-463.850	1.058421e-01	1.201651e-02	-1.201651e-02	7.632645e-04	9.936857e-05	1.000000
3120858.621	486.416	-486.416	1.173575e-01	1.221779e-02	-1.221779e-02	8.862599e-04	1.419152e-04	1.000000
3361759.891	483.909	-483.909	1.010326e-01	1.154282e-02	-1.154282e-02	7.151008e-04	1.021573e-04	1.000000
3459283.924	461.343	-461.343	9.129694e-02	1.145011e-02	-1.145011e-02	7.705451e-04	1.089715e-04	1.000000
3698822.837	501.460	-501.460	1.201758e-01	1.207736e-02	-1.207736e-02	9.854865e-04	1.437480e-04	1.000000
3876607.519	497.699	-497.699	8.425374e-02	1.030735e-02	-1.030735e-02	5.931271e-04	8.941727e-05	1.000000
4048767.598	537.816	-537.816	7.668202e-02	1.037584e-02	-1.037584e-02	6.422322e-04	8.582189e-05	1.000000
4159034.552	490.177	-490.177	2.729990e-02	8.594974e-03	-7.134023e-03	3.749487e-04	5.055807e-05	1.000000
4336883.725	480.148	-480.148	6.594888e-02	9.541230e-03	-9.541230e-03	6.374474e-04	9.298127e-05	1.000000
4497028.927	535.309	-535.309	6.575966e-02	8.774686e-03	-8.774686e-03	8.583105e-04	1.081370e-04	1.000000
4716948.236	14676.830	-14676.830	7.472775e-02	8.305349e-03	-8.305349e-03	6.854114e-04	7.348381e-05	0.050823
