 ! Swift/XRT detailed lightcurve of trigger: 31918, name: Swift J1357.2-0933 
 ! T0 for this burst is Swift MET=318229049.0006 s, = 2011 Feb 01 at 04:57:22.381 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
61094.896	3233.504	-3233.504	1.009354e+01	6.467562e-01	-5.615693e-01	1.194358e-01	4.823965e-03	0.509496
145160.993	499.806	-499.806	1.052041e+01	1.098133e-01	-1.096124e-01	1.275062e-01	9.556994e-03	1.000000
221502.697	827.304	-827.304	9.070324e+00	9.947734e-01	-1.039934e+00	1.396772e-01	7.361635e-03	1.000000
261580.217	827.384	-827.384	9.447327e+00	1.663664e-01	-1.611472e-01	1.381120e-01	7.319922e-03	1.000000
532571.117	559.883	-559.883	9.091002e+00	9.811544e-02	-1.042795e-01	1.364372e-01	9.095815e-03	1.000000
639458.720	3349.680	-3349.680	8.089576e+00	4.915756e-01	-3.308908e-01	1.188558e-01	6.665102e-03	0.263129
724122.722	584.878	-584.878	8.913280e+00	3.876796e-01	-4.179898e-01	1.218361e-01	8.177103e-03	1.000000
810949.206	522.380	-522.380	8.740299e+00	9.936412e-02	-9.976848e-02	1.271957e-01	8.840709e-03	1.000000
908907.110	604.889	-604.889	8.350715e+00	8.799538e-02	-8.799829e-02	1.055188e-01	7.695751e-03	1.000000
1285144.191	507.370	-507.370	7.584862e+00	9.400164e-02	-9.883268e-02	1.440086e-01	9.821308e-03	0.999017
1505039.299	632.271	-632.271	6.761242e+00	7.953892e-02	-7.990852e-02	1.726091e-01	9.361042e-03	1.000000
1678443.294	567.307	-567.307	5.992326e+00	2.368257e-01	-3.232958e-01	1.071851e-01	8.102433e-03	0.977087
1979415.816	257.383	-257.383	5.585691e+00	1.105485e-01	-1.105475e-01	9.365380e-02	1.111466e-02	1.000000
2152184.208	6285.991	-6285.991	4.881662e+00	7.091647e-02	-7.102069e-02	9.775775e-02	7.852092e-03	0.088519
2400643.095	707.305	-707.305	4.593074e+00	6.130103e-02	-6.139302e-02	1.065599e-01	7.151829e-03	1.000000
2521308.595	699.805	-699.805	4.125468e+00	5.887024e-02	-5.887083e-02	1.161667e-01	7.577883e-03	0.981424
2701042.801	664.799	-664.799	3.946299e+00	5.840531e-02	-5.840582e-02	9.801528e-02	7.265376e-03	1.000000
2873901.899	667.302	-667.302	3.687177e+00	1.076640e-01	-1.079961e-01	8.466010e-02	6.381495e-03	1.000000
3007471.119	659.881	-659.881	3.645485e+00	5.641010e-02	-5.648846e-02	9.003682e-02	6.806144e-03	1.000000
3210327.694	602.306	-602.306	3.281195e+00	5.599385e-02	-5.599455e-02	9.131564e-02	7.174434e-03	1.000000
3412557.017	692.383	-692.383	3.479358e+00	3.396137e-01	-3.772257e-01	8.906438e-02	6.548144e-03	1.000000
3480854.298	617.295	-617.295	2.993771e+00	5.341768e-02	-5.341628e-02	1.057862e-01	8.185984e-03	1.000000
3752679.200	134.800	-134.800	2.035227e+00	9.431880e-02	-9.432648e-02	7.555754e-02	1.379486e-02	1.000000
3938233.817	617.383	-617.383	2.354981e+00	4.741943e-02	-4.741814e-02	9.880418e-02	7.910665e-03	1.000000
4065732.114	619.887	-619.887	1.645924e+00	2.597549e-01	-2.326989e-01	8.338836e-02	6.634022e-03	1.000000
4845405.351	639.948	-639.948	1.836898e+00	7.677430e-02	-7.614211e-02	9.398905e-02	7.125292e-03	1.000000
5284750.913	739.887	-739.887	1.730083e+00	3.801402e-02	-3.806254e-02	8.936970e-02	6.226682e-03	1.000000
6781829.210	782.391	-782.391	1.029813e+00	2.914003e-02	-2.918231e-02	7.261690e-02	5.458220e-03	1.000000
7047820.315	6167.285	-6167.285	9.409702e-01	3.163519e-02	-3.163868e-02	1.125998e-01	8.234113e-03	0.103695
7875303.590	564.811	-564.811	7.410310e-01	3.339501e-02	-3.339157e-02	1.692014e-01	1.128010e-02	0.997339
196515642.200	11.128	-11.128	4.733818e+00	5.020549e-01	-5.023212e-01	8.653839e-02	4.996296e-02	1.000000
196857592.586	2913.308	-2913.308	3.787968e+00	4.625401e-01	-4.625393e-01	2.086510e-01	8.518142e-02	0.003785
