 ! Swift/XRT detailed lightcurve of trigger: 10955, name: Swift J1858.6-0814 
 ! T0 for this burst is Swift MET=562861999.80058 s, = 2018 Nov 02 at 14:32:57.946 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
9313786.614	1955.061	-1955.061	1.146178e+01	6.913810e-01	-6.913796e-01	3.136520e-01	9.456963e-02	0.007014
10912394.461	261.812	-261.812	3.168323e+00	3.925034e-01	-3.925033e-01	2.187866e-01	7.735274e-02	0.048316
42350640.398	819.802	-819.802	2.035876e+01	1.182559e-01	-1.182972e-01	3.072860e-01	1.128082e-02	1.000000
NO	NO	NO	NO	NO
! PC data
2228.366	2140.378	-2140.378	2.043999e+00	1.317802e-01	-1.317802e-01	4.746619e-03	3.706487e-04	0.230771
130303.547	199.330	-199.330	1.052722e+00	9.528863e-02	-9.528863e-02	3.667264e-03	5.135197e-04	1.000000
979797.525	580.440	-580.440	1.356314e-01	1.231513e-02	-1.231513e-02	2.024782e-03	1.921838e-04	1.000000
1114187.582	3051.596	-3051.596	7.692234e-02	7.172496e-03	-7.172496e-03	7.379689e-04	6.107474e-05	0.331530
1278305.724	812.372	-812.372	2.513848e-01	1.817321e-02	-1.817321e-02	1.427518e-03	1.319741e-04	0.999992
1378783.861	3175.262	-3175.262	7.981391e-01	4.155835e-02	-4.155835e-02	3.118811e-03	2.465637e-04	0.229389
1419284.035	8993.179	-8993.179	1.233659e-01	1.062573e-02	-1.062573e-02	1.014846e-03	7.501961e-05	0.115423
1533170.894	3288.297	-3288.297	9.324739e-01	4.639158e-02	-4.639158e-02	3.240057e-03	2.104643e-04	0.303091
1602055.859	3283.727	-3283.727	7.956772e-01	4.593940e-02	-4.593940e-02	2.361280e-03	1.731375e-04	0.257317
1705291.143	3246.176	-3246.176	3.221544e+00	1.070643e-01	-1.070643e-01	5.728553e-03	2.982166e-04	0.301230
9316757.497	5334.701	-5334.701	3.782001e-01	1.589936e-02	-1.589936e-02	2.049666e-03	1.014736e-04	0.391508
9402443.453	493.940	-493.940	1.321887e-01	1.393836e-02	-1.393836e-02	2.055622e-03	2.065978e-04	0.999996
9740958.270	441.286	-441.286	1.827410e-01	1.913785e-02	-1.913785e-02	1.595831e-03	1.893903e-04	0.999998
9815858.185	481.403	-481.403	2.889651e-01	2.462784e-02	-2.462784e-02	2.240917e-03	2.311329e-04	0.999997
9918763.718	473.881	-473.881	6.544961e-01	4.649285e-02	-4.649285e-02	2.010512e-03	2.000534e-04	0.999996
10079469.923	507.730	-507.730	1.410927e-01	1.446376e-02	-1.446376e-02	1.891338e-03	1.950766e-04	0.999996
10475335.488	462.597	-462.597	7.735805e-02	1.082479e-02	-1.082479e-02	1.045295e-03	1.240537e-04	1.000000
10636051.313	487.670	-487.670	8.069957e-02	1.036773e-02	-1.036773e-02	1.240400e-03	1.369793e-04	1.000000
10825939.576	497.700	-497.700	2.735664e-01	2.467521e-02	-2.467521e-02	2.046590e-03	2.133718e-04	0.999998
10912641.093	498.252	-498.252	1.130748e+00	7.221326e-02	-7.221326e-02	3.466115e-03	3.232169e-04	0.978761
11004020.531	497.699	-497.699	1.705790e-01	1.604389e-02	-1.604389e-02	1.983921e-03	2.139317e-04	1.000000
11176515.472	502.714	-502.714	4.517376e-02	7.667589e-03	-7.667589e-03	6.446262e-04	7.443502e-05	1.000000
11274100.730	470.121	-470.121	3.774010e-01	3.536059e-02	-3.536059e-02	5.970667e-03	3.746330e-04	0.999995
11511946.914	9170.700	-9170.700	2.237967e-01	1.960768e-02	-1.960768e-02	1.994909e-03	1.852226e-04	0.064523
11657145.174	473.882	-473.882	2.755865e-01	2.568447e-02	-2.568447e-02	1.509887e-03	1.817691e-04	0.999996
11804150.398	15408.724	-15408.724	1.868955e-01	1.885543e-02	-1.885543e-02	1.904549e-03	1.876608e-04	0.031974
12007820.096	498.954	-498.954	2.378949e-01	1.993353e-02	-1.993353e-02	2.281986e-03	2.293482e-04	0.999996
12139642.766	495.192	-495.192	1.073701e-01	1.167369e-02	-1.167369e-02	1.213221e-03	1.348024e-04	1.000000
12368568.879	470.119	-470.119	1.385045e-01	1.357453e-02	-1.357453e-02	2.067694e-03	2.167532e-04	1.000000
12477748.829	490.180	-490.180	2.134000e-01	2.101694e-02	-2.101694e-02	1.987961e-03	2.072593e-04	0.999994
12856230.432	428.749	-428.749	2.566445e-01	2.731595e-02	-2.731595e-02	1.586341e-03	1.909731e-04	0.999999
13045553.082	465.105	-465.105	2.664078e-01	2.231395e-02	-2.231395e-02	1.852074e-03	1.985632e-04	0.999999
13212784.693	513.999	-513.999	4.019190e-01	3.388671e-02	-3.388671e-02	2.096851e-03	2.107415e-04	0.999996
13418629.945	587.965	-587.965	1.380560e-01	1.305951e-02	-1.305951e-02	1.376851e-03	1.549079e-04	0.999994
13550556.124	541.580	-541.580	1.574686e-01	1.620432e-02	-1.620432e-02	1.645245e-03	1.753837e-04	0.999994
16113499.063	8898.087	-8898.087	3.649908e-01	1.519156e-02	-1.519156e-02	1.866121e-03	1.056483e-04	0.191188
17148679.932	6498.956	-6498.956	1.924049e-01	9.820462e-03	-9.820462e-03	1.347569e-03	7.604769e-05	0.289157
17171179.016	6078.989	-6078.989	1.168767e-01	6.899497e-03	-6.899497e-03	9.293684e-04	5.055098e-05	0.356154
18335879.982	519.015	-519.015	1.998015e-01	1.795238e-02	-1.795238e-02	1.985120e-03	2.092500e-04	0.999992
18558892.042	81.487	-81.487	3.989836e-01	7.379139e-02	-7.379139e-02	2.337219e-03	5.668588e-04	1.000000
19064423.504	12254.032	-12254.032	2.010087e-01	1.312251e-02	-1.312251e-02	1.391329e-03	1.073433e-04	0.078468
20935287.657	431.256	-431.256	9.546818e-02	1.204969e-02	-1.204969e-02	1.293199e-03	1.513575e-04	1.000000
21153324.677	432.509	-432.509	8.982542e-02	1.214312e-02	-1.214312e-02	1.322892e-03	1.460890e-04	1.000000
21451293.091	366.067	-366.067	2.964843e-01	2.692595e-02	-2.692595e-02	1.874617e-03	2.224761e-04	0.999997
21664311.899	406.184	-406.184	3.607380e-01	3.767939e-02	-3.767939e-02	2.052230e-03	2.369711e-04	0.999995
21915841.183	397.410	-397.410	3.485138e-01	2.695687e-02	-2.695687e-02	2.409905e-03	2.629422e-04	0.999992
22214978.901	480.150	-480.150	2.174203e-01	1.853649e-02	-1.853649e-02	1.773156e-03	2.061252e-04	0.999997
22467213.103	11464.535	-11464.535	1.358316e-01	1.947348e-02	-1.947348e-02	1.191820e-03	1.861310e-04	0.024604
23870090.350	3227.652	-3227.652	1.999430e-01	1.487551e-02	-1.487551e-02	1.265718e-03	9.330995e-05	0.326652
23883213.413	304.637	-304.637	8.636746e-02	1.405856e-02	-1.405856e-02	1.034194e-03	1.541685e-04	1.000000
23889057.885	399.916	-399.916	4.861015e-01	3.473494e-02	-3.473494e-02	1.958331e-03	2.217374e-04	0.999995
23895039.159	419.975	-419.975	2.229838e-01	2.082186e-02	-2.082186e-02	1.965380e-03	2.300303e-04	0.999995
41588001.951	376.095	-376.095	2.003208e+01	5.620846e-01	-5.620846e-01	1.907187e-02	7.779577e-04	1.000000
42000705.061	997.910	-997.910	1.977038e-01	1.165949e-02	-1.165949e-02	4.400917e-03	2.090939e-04	0.999995
43963280.102	12138.340	-12138.340	7.064190e-01	2.002245e-02	-2.002245e-02	2.629779e-03	1.268192e-04	0.164938
44043032.420	1195.986	-1195.986	7.294999e-01	3.573002e-02	-3.573002e-02	2.321624e-03	1.415519e-04	0.999997
44048667.534	1094.440	-1094.440	2.333538e-01	1.517384e-02	-1.517384e-02	1.937422e-03	1.376866e-04	0.999997
44074504.029	2384.529	-2384.529	3.319086e-01	2.192099e-02	-2.192099e-02	2.123362e-03	1.628544e-04	0.332270
44112237.570	895.106	-895.106	9.750730e-01	4.304780e-02	-4.304780e-02	3.580991e-03	2.477023e-04	1.000000
45176198.947	37680.463	-37680.463	5.746503e-02	4.299773e-03	-4.299773e-03	7.573573e-04	3.932003e-05	0.056194
45818224.481	2913.700	-2913.700	3.451973e-02	4.905176e-03	-4.905176e-03	6.288792e-04	5.240660e-05	0.340336
46418848.896	368.573	-368.573	1.558037e-02	6.228831e-03	-4.977166e-03	7.431353e-04	9.289191e-05	1.000000
47611521.589	857.497	-857.497	1.478324e-02	3.662320e-03	-3.662320e-03	5.077499e-04	4.978898e-05	1.000000
52470135.064	624.318	-624.318	1.165866e-02	4.113117e-03	-3.357783e-03	4.284520e-04	4.284520e-05	1.000000
