 ! Swift/XRT detailed lightcurve of trigger: 32480, name: Swift J1910.2-0546 
 ! T0 for this burst is Swift MET=360254504.40058 s, = 2012 Jun 01 at 14:41:36.130 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
READ TERR 1 2
READ SERR 3
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
249920.796	499.804	-499.804	6.095682e+02	1.448294e+01	-3.926017e+00	6.386509e+00	6.153118e-02	1.000000
573774.537	500.862	-500.862	1.126513e+03	1.425683e+01	-4.077684e+00	8.692604e+00	6.463841e-02	1.000000
873913.917	539.884	-539.884	1.206173e+03	2.139690e+01	-1.449233e+01	1.053437e+01	6.584879e-02	1.000000
1119426.608	32109.392	-32109.392	1.158491e+03	1.174963e+01	-7.496147e+00	1.084624e+01	6.046347e-02	0.023111
1330189.217	267.402	-267.402	1.268453e+03	1.063601e+02	-2.070561e+02	1.078465e+01	9.853616e-02	1.000000
1658454.913	559.887	-559.887	1.017379e+03	9.239339e+00	-3.437873e+00	8.838314e+00	6.519236e-02	1.000000
1858671.409	3203.992	-3203.992	8.214973e+02	6.945401e+01	-3.842459e+01	1.204685e+01	8.104321e-02	0.183213
2149164.306	469.895	-469.895	9.158334e+02	2.624328e+01	-2.144312e+01	8.663961e+00	6.913933e-02	1.000000
2409778.220	557.379	-557.379	8.303685e+02	1.880827e+01	-4.669070e+00	8.740314e+00	6.599894e-02	1.000000
2651402.510	489.889	-489.889	7.701155e+02	1.231492e+01	-3.327916e+00	7.412672e+00	6.483166e-02	1.000000
2946323.319	469.880	-469.880	6.887316e+02	3.076243e+01	-1.315535e+01	9.486015e+00	8.372440e-02	1.000000
3696383.222	52.379	-52.379	5.906086e+02	2.646584e+01	-7.221284e+00	6.040312e+00	1.867642e-01	1.000000
3956755.002	499.797	-499.797	4.510266e+02	1.344430e+01	-4.663167e+00	5.635297e+00	5.658259e-02	1.000000
4571828.312	25505.289	-25505.289	3.779796e+02	3.513161e+01	-6.249098e+01	4.183974e+00	5.616199e-02	0.014974
4987730.595	3257.405	-3257.405	2.123481e+02	5.911848e+00	-1.367190e+00	2.653312e+00	2.381497e-02	0.484158
4996822.724	79.476	-79.476	2.261563e+02	7.609181e+00	-2.424276e+00	2.842573e+00	1.115807e-01	1.000000
