# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-07-03 at 10:55:46
#
# Requested input R.A. = 263.4875 degrees
# Requested input Dec. = -22.03528 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460129.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 281 15 2 ZTF_g 519445825815 0 3.4197 181.248 17.1059 26.2417 0.000805663 0.0698126 -0.0840791 0.000423167 168 30. 0.277959 0.232781 19.2119 26.2417 1 2458273.9458218 281120158 32.7436384139303 76.2672215340963 0.477577449464857 0.915915002567631 2.05567085749905 109.424949350823 0.0189126513768094 1.08055566782443 1.22876645992449 20.4230000495911 0.116999998688698 1.74399995803833 -0.0529999993741512 2458273.945822 2458608.897974 0
 1 281 15 2 ZTF_g 520377515815 0 2.3224 201.317 14.7435 26.2544 0.000229035 0.0502653 -0.0451765 0.0001108 414 30. 0.161123 0.164609 20.4162 26.2544 1 2458274.8775116 281120158 -21.3537256334054 27.9809045619439 -0.848919890225712 0.996026453287025 -20.9584122563568 46.1089835490213 -0.457602114484078 1.07829337087296 1.22876645992449 20.4230000495911 0.116999998688698 1.74399995803833 -0.0529999993741512 2458273.945822 2458608.897974 0
 2 281 15 2 ZTF_g 522375985815 0 2.5925 196.172 13.6476 26.3029 0.000289384 0.0568381 -0.1063 0.00014076 422 30. 0.214418 0.212411 20.2678 26.3029 1 2458276.8759838 281120158 -10.0638886020378 30.5977982920499 -0.365873070110094 1.0100947657343 -4.62938150678182 49.0491689879121 -0.0950181369786226 1.07691204727813 1.22876645992449 20.4230000495911 0.116999998688698 1.74399995803833 -0.0529999993741512 2458273.945822 2458608.897974 0
 3 281 15 2 ZTF_g 524355415815 33554432 2.3155 197.96 13.475 26.3339 0.000255091 0.0546278 -0.0997715 0.000123141 428 30. 0.189144 0.195506 20.7187 26.3339 1 2458278.8554167 281120158 -22.5825859527959 22.2296011338494 -1.13004777044809 1.0359872587982 -32.5825618505313 36.7229166290999 -0.893229903564806 1.07622156589606 1.22876645992449 20.4230000495911 0.116999998688698 1.74399995803833 -0.0529999993741512 2458273.945822 2458608.897974 0
 4 281 15 2 ZTF_g 525334345815 0 2.6325 196.629 13.516 26.2892 0.000312077 0.0584902 -0.0948124 0.000150277 422 30. 0.216225 0.222333 20.2253 26.2892 1 2458279.8343403 281120158 8.90760083473996 31.1107958001726 0.318496326856847 0.962257794122229 -38.8147769027548 49.2599848662586 -0.79326448768695 1.08140723138282 1.22876645992449 20.4230000495911 0.116999998688698 1.74399995803833 -0.0529999993741512 2458273.945822 2458608.897974 0
 5 281 15 2 ZTF_g 526398125815 0 2.7687 194.954 13.8603 26.3382 0.00030542 0.0586946 -0.110304 0.000146949 428 30. 0.222306 0.223548 20.2216 26.3382 1 2458280.898125 281120158 0.40939049766213 32.7189374579596 0.0139185299265987 0.9926786342796 -29.5568582765953 52.1418855164895 -0.570672217218329 1.0780561151616 1.22876645992449 20.4230000495911 0.116999998688698 1.74399995803833 -0.0529999993741512 2458273.945822 2458608.897974 0
 6 281 15 2 ZTF_g 530356855815 32 2.9424 21.8962 8.31273 23.4039 1.96712 0.146164 0.449278 2.02555 5 30. 0.102408 0.103388 16.9401 23.4039 1 2458284.8568519 281120158 13.9057609332956 41.1048827672632 0.376318999941563 0.946295620135442 48.3593677112393 63.7723325368251 0.763419948721701 1.0494918726155 1.22876645992449 20.4230000495911 0.116999998688698 1.74399995803833 -0.0529999993741512 2458273.945822 2458608.897974 0
 7 281 15 2 ZTF_g 532406595815 0 3.8331 190.339 13.1914 26.3489 0.000776826 0.0827506 -0.0762861 0.000379166 317 30. 0.344371 0.290383 19.9436 26.3489 1 2458286.9065972 281120158 -79.6793550442172 39.2231656573532 -2.25973737663518 1.14886091158335 -92.6269064444236 55.2373668426887 -1.68818246268287 1.09186154209703 1.22876645992449 20.4230000495911 0.116999998688698 1.74399995803833 -0.0529999993741512 2458273.945822 2458608.897974 0
 8 281 15 2 ZTF_g 534354955815 0 3.0512 197.237 12.6317 26.2709 0.000417395 0.0670766 -0.0724867 0.000201084 410 30. 0.250142 0.253007 20.0028 26.2709 1 2458288.8549537 281120158 -13.6733470925779 39.7215019076725 -0.382916409682731 0.959050793925239 -103.399809256789 59.5604810637626 -1.74773962637729 1.09618948768118 1.22876645992449 20.4230000495911 0.116999998688698 1.74399995803833 -0.0529999993741512 2458273.945822 2458608.897974 0
