# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-07-03 at 10:31:38
#
# Requested input R.A. = 287.8169047 degrees
# Requested input Dec. = 0.584963398 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460129.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 436 13 0 ZTF_g 451473154815 0 3.1571 83.5788 13.8421 26.0283 3.38467e-05 0.0389237 -0.0793568 3.52271e-05 884 30. 0.138311 0.13097 19.1739 26.0283 1 2458205.9731597 436120148 34.7808992177978 67.3303556461937 0.574625240594634 1.04792335604422 53.002614035198 101.712696172675 0.524610905993865 1.10320734416996 0.0898445027104182 19.8209998130798 0.0480000004172325 0.959999978542328 -0.0410000011324883 2458206.029340 2458283.900162 0
 1 436 13 0 ZTF_g 451529344815 0 2.9442 90.4532 13.9519 26.1182 2.23015e-05 0.0320608 -0.0617819 2.29785e-05 887 30. 0.131569 0.132324 19.422 26.1182 1 2458206.0293403 436120148 -60.4932262173879 61.9621707350284 -1.08601274970775 1.2458187853508 -76.763106277428 95.4063873500407 -0.810009815498289 1.11928137026458 0.0898445027104182 19.8209998130798 0.0480000004172325 0.959999978542328 -0.0410000011324883 2458206.029340 2458283.900162 0
 2 436 13 0 ZTF_g 452445994815 0 3.1427 85.0887 18.5333 26.0415 4.41243e-05 0.0446928 -0.0761904 4.58707e-05 864 30. 0.123859 0.111177 18.8215 26.0415 1 2458206.9459954 436120148 -186.627167854829 95.6663962637642 -2.17005255639366 1.16903526665109 -106.224709865243 146.045929092599 -0.732236359221004 1.08943459877258 0.0898445027104182 19.8209998130798 0.0480000004172325 0.959999978542328 -0.0410000011324883 2458206.029340 2458283.900162 0
 3 437 16 1 ZTF_g 452486706115 0 2.5364 97.366 15.0408 26.1053 2.82978e-05 0.0327186 -0.0817087 3.04691e-05 915 30. 0.091301 0.092738 19.3483 26.1053 1 2458206.9867014 437120161 122.639164005738 64.7178681718131 2.10794744764327 1.60712561030356 431.854850422129 108.023218588397 4.0247219381885 1.08546085800338 0.0779164355673596 19.9020001411438 0.0399999991059303 0.732999980449677 0.0469999983906746 2458228.979491 2458332.731250 0
 4 437 16 1 ZTF_g 452530596115 0 2.3336 100.057 14.4124 26.1351 2.75379e-05 0.0320586 -0.0680601 2.98442e-05 921 30. 0.085261 0.085654 19.5386 26.1351 1 2458207.0305903 437120161 -18.8914296314242 62.3760725992969 -0.336900456402545 1.1394761037774 2.33988347100679 106.358213376324 0.0221481975489199 1.09401759904358 0.0779164355673596 19.9020001411438 0.0399999991059303 0.732999980449677 0.0469999983906746 2458228.979491 2458332.731250 0
 5 436 13 0 ZTF_g 453468204815 0 2.5715 90.4707 18.8884 26.0812 3.66381e-05 0.0409015 -0.0578783 3.79369e-05 887 30. 0.094527 0.090969 19.0392 26.0812 1 2458207.968206 436120148 -29.3072068652481 95.1917034638953 -0.34247599197597 0.989419154218102 -43.6601504800588 156.960353589793 -0.280033798983382 1.10261444417786 0.0898445027104182 19.8209998130798 0.0480000004172325 0.959999978542328 -0.0410000011324883 2458206.029340 2458283.900162 0
 6 436 13 0 ZTF_g 453526624815 0 2.0293 96.6086 17.385 26.1628 2.2931e-05 0.0328077 -0.0541191 2.35822e-05 889 30. 0.074109 0.080526 19.6158 26.1628 1 2458208.0266204 436120148 18.0771744965322 65.5198567757122 0.306910970078912 1.20638083357191 260.775083525357 114.245907536046 2.29795031068171 1.12214703343364 0.0898445027104182 19.8209998130798 0.0480000004172325 0.959999978542328 -0.0410000011324883 2458206.029340 2458283.900162 0
 7 436 13 0 ZTF_g 454467304815 1 2.0431 24.8235 26.7885 24.5776 0.0021827 0.0436446 -0.00870507 0.00417562 29 30. 0.062989 0.061862 17.1977 24.5776 1 2458208.9673032 436120148 -82.1858804567666 128.644122296409 -0.710660316476531 0.990865055807801 48.9304595781916 232.156392601897 0.21218459025219 1.10319895180871 0.0898445027104182 19.8209998130798 0.0480000004172325 0.959999978542328 -0.0410000011324883 2458206.029340 2458283.900162 0
 8 437 16 1 ZTF_g 455510236115 0 2.3663 99.597 17.1596 26.0936 4.38483e-05 0.0404056 -0.040084 4.70996e-05 906 30. 0.099629 0.108727 19.3284 26.0936 1 2458210.0102315 437120161 54.7455933665993 80.1681655011421 0.759629850847978 1.09023611697 68.8282949898682 127.565529862843 0.543186373240141 1.14724393585009 0.0779164355673596 19.9020001411438 0.0399999991059303 0.732999980449677 0.0469999983906746 2458228.979491 2458332.731250 0
