# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-07-14 at 00:15:48
#
# Requested input R.A. = 99.13563958 degrees
# Requested input Dec. = 35.59533781 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460140.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 661 16 3 ZTF_g 450176146315 0 2.6989 106.665 12.3183 26.2784 4.2624e-06 0.026521 -0.103042 1.32084e-05 2143 30. 0.040823 0.038947 19.4881 26.2784 1 2458204.6761458 661120163 1115.47790797087 60.6648786811093 20.4540089279383 1.17256166852061 978.011036808613 97.1849204112546 10.1311807762439 1.04646931165878 0.0737159653804712 16.0739995956421 0.0209999997168779 1.06299996376038 -0.0509999990463257 2458166.679676 2458428.840544 0
 1 661 16 3 ZTF_g 450195266315 0 3.0475 106.148 12.6292 26.2647 5.9484e-06 0.0313221 -0.106582 1.8427e-05 2143 30. 0.047927 0.045435 19.3506 26.2647 1 2458204.6952662 661120163 1241.03242963751 64.7167783290098 21.3314826317177 1.48534586222807 1042.55419355156 97.433648562786 10.7722113613763 1.04862563900777 0.0737159653804712 16.0739995956421 0.0209999997168779 1.06299996376038 -0.0509999990463257 2458166.679676 2458428.840544 0
 2 661 16 3 ZTF_g 450238246315 33554433 4.4118 1458.85 46.5931 28.741 2.63e-06 0.0206105 -0.0971724 8.18174e-06 2103 300. 0.058825 0.058638 20.1403 28.741 3 2458204.7382407 1000661130163 16578.2173771496 285.179649009184 64.665717525543 1.44137787371704 17027.6889226657 348.598138530739 49.1751661655382 1.11599490399695 0.0737159653804712 16.0739995956421 0.0209999997168779 1.06299996376038 -0.0509999990463257 2458166.679676 2458428.840544 0
 3 661 16 3 ZTF_g 451209456315 1 3.1324 1064.65 43.3763 28.7609 1.1392e-06 0.0135545 -0.0801521 3.54429e-06 2132 300. 0.039565 0.038489 20.5017 28.7609 3 2458205.709456 661120163 -3716.90417577182 233.675678209146 -17.6938627475731 1.70770110498778 -5122.27256028351 353.574946033009 -14.5846627950983 1.0631116774766 0.0737159653804712 16.0739995956421 0.0209999997168779 1.06299996376038 -0.0509999990463257 2458166.679676 2458428.840544 0
 4 661 16 3 ZTF_g 452248356315 1 2.9305 1024.48 44.8591 28.7317 1.1891e-06 0.0139463 -0.0746431 3.68506e-06 2132 300. 0.040795 0.038903 20.4551 28.7317 3 2458206.7483565 661120163 -5634.11735463748 231.645562414404 -27.0555710577355 2.24404987648565 -7699.4678773531 365.564325723527 -21.203721728464 1.05462721293617 0.0737159653804712 16.0739995956421 0.0209999997168779 1.06299996376038 -0.0509999990463257 2458166.679676 2458428.840544 0
 5 661 16 3 ZTF_g 453171066315 1 2.6524 1011.28 46.718 28.7181 2.4385e-06 0.0197559 -0.0865094 7.58409e-06 2129 300. 0.033122 0.034465 20.4867 28.7181 3 2458207.6710648 661120163 15130.7624611482 241.886288046296 69.5831947445982 5.55982191059651 11457.1185525223 393.113203279288 29.3408687597889 1.05069935293004 0.0737159653804712 16.0739995956421 0.0209999997168779 1.06299996376038 -0.0509999990463257 2458166.679676 2458428.840544 0
 6 661 16 3 ZTF_g 453186156315 0 2.5953 87.8328 15.8516 26.0484 8.9514e-06 0.0383325 -0.0933247 2.77674e-05 2088 30. 0.041817 0.042747 18.991 26.0484 1 2458207.6861574 661120163 800.473060043241 80.3505271176163 11.0818633659983 1.15827103676077 436.653758635143 133.585104983828 3.29074597707283 1.04918963160708 0.0737159653804712 16.0739995956421 0.0209999997168779 1.06299996376038 -0.0509999990463257 2458166.679676 2458428.840544 0
 7 661 16 3 ZTF_g 456152386315 0 2.0378 484.122 23.6668 27.8756 1.3072e-06 0.0147106 -0.0518223 4.04958e-06 2145 300. 0.026534 0.026916 20.675 27.8756 3 2458210.6523843 661120163 8515.86754995498 103.669793818896 91.3758572575688 7.19228171115698 8100.28114944639 170.164408565135 47.9232824172826 1.06019545315816 0.0737159653804712 16.0739995956421 0.0209999997168779 1.06299996376038 -0.0509999990463257 2458166.679676 2458428.840544 0
 8 661 16 3 ZTF_g 456164186315 0 1.7767 37.5883 8.91815 25.0882 8.7584e-06 0.0379496 -0.0445736 2.71534e-05 2103 30. 0.038318 0.038443 18.9961 25.0882 1 2458210.6641898 661120163 469.537570976361 38.2836503873935 13.6430606093408 1.51954092077705 345.270842792042 72.2946839361803 4.80804732600008 1.05789471459083 0.0737159653804712 16.0739995956421 0.0209999997168779 1.06299996376038 -0.0509999990463257 2458166.679676 2458428.840544 0
