# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-07-03 at 10:43:42
#
# Requested input R.A. = 287.595 degrees
# Requested input Dec. = -5.79886 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460129.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 436 1 3 ZTF_g 451473150315 0 2.8132 77.5392 12.1734 25.858 3.39843e-05 0.0431738 -0.0254094 3.53541e-05 1667 30. 0.099276 0.090457 19.1394 25.858 1 2458205.9731597 436120103 47.6114849397581 60.7426031303313 0.871912950228382 0.889820739624158 62.2269456978713 95.1379171087459 0.658476132978206 1.06394573333977 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 1 436 1 3 ZTF_g 451529340315 0 2.7181 87.3898 11.2888 26.0054 2.01091e-05 0.0331842 -0.0366579 2.09265e-05 1667 30. 0.085772 0.086373 19.4555 26.0054 1 2458206.0293403 436120103 95.6149209278086 51.617328243939 2.06055850546734 1.05264919976405 201.802372445919 81.4028502698572 2.49575441598821 1.07826833140814 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 2 436 1 3 ZTF_g 452445990315 0 2.7521 78.5641 17.4093 25.8827 4.69292e-05 0.0490235 -0.0583774 4.90852e-05 1552 30. 0.091491 0.084184 18.7653 25.8827 1 2458206.9459954 436120103 69.4230895143363 75.3735934543646 1.02456500316821 1.0396514032307 136.482086945204 122.306510038131 1.12341772821763 1.05614808320723 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 3 436 1 3 ZTF_g 453468200315 0 2.2337 84.1331 17.3382 25.928 3.05753e-05 0.0407084 -0.0177566 3.1773e-05 1648 30. 0.065167 0.069914 19.0162 25.928 1 2458207.968206 436120103 0.826669425190792 71.3167129271546 0.0128942283952832 0.943739433368303 7.10273645718736 124.151726801049 0.057595443737488 1.06685802880175 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 4 436 1 3 ZTF_g 453526620315 0 2.2382 91.6955 15.3174 26.0491 2.59057e-05 0.0375496 -0.0287873 2.69715e-05 1659 30. 0.065248 0.073453 19.3183 26.0491 1 2458208.0266204 436120103 -6.97330782286894 63.3633915417794 -0.122420802719939 0.975725619510366 -50.5056182927752 109.443433691359 -0.464584989915457 1.08565564641687 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 5 436 1 3 ZTF_g 454467300315 49 1.8956 16.5293 27.6677 23.9167 0.0121479 0.0734874 0.238263 0.0176926 14 30. 0.059836 0.07075 16.5 23.9167 1 2458208.9673032 436120103 -39.7273427514682 129.354747821589 -0.341634675620495 0.863543510290919 -79.8827715227699 236.899136145703 -0.339472688222727 1.07617431669684 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 6 436 1 3 ZTF_g 455510690315 0 2.7106 87.9065 14.5877 25.9914 4.24599e-05 0.047485 -0.00769431 4.38438e-05 1606 30. 0.089275 0.093559 19.057 25.9914 1 2458210.0106944 436120103 29.1225646735857 78.4105479372234 0.413152067830763 0.925924138482471 66.2078444280625 121.268281410728 0.549638844503745 1.11809031290093 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 7 436 1 3 ZTF_g 455525110315 0 3.0092 89.4304 15.5929 26.0202 4.5999e-05 0.0478686 -0.0035557 4.79953e-05 1506 30. 0.094049 0.09746 18.9783 26.0202 1 2458210.0251157 436120103 42.3674298112915 77.0223375274598 0.611885589110841 1.03869038662257 255.634916840026 117.685545970553 2.18681598143981 1.13698548613597 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 8 436 1 3 ZTF_g 456506630315 0 2.7016 88.6975 14.0541 26.0098 3.70224e-05 0.0445815 -0.0255561 3.82685e-05 1631 30. 0.086967 0.078229 19.1335 26.0098 1 2458211.0066319 436120103 -8.18353592970006 69.8244241782621 -0.130373231924092 1.00871342679801 42.4780899290414 110.449243782063 0.387184020861821 1.08924420279429 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 9 436 1 3 ZTF_g 456526260315 0 2.4801 90.7876 17.1767 26.0357 3.79905e-05 0.0445194 -0.0231587 3.94146e-05 1594 30. 0.072539 0.072295 19.0211 26.0357 1 2458211.0262616 436120103 -96.4818812796587 84.1159488831381 -1.2759163885278 1.00728600231663 -102.152790342915 136.1779060702 -0.75519442346405 1.09044339924529 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 10 436 1 3 ZTF_g 457517410315 8 5.5314 82.5851 14.302 26.0072 0.00036994 0.0620407 -0.0119855 0.000426934 282 30. 0.153172 0.145362 18.4614 26.0072 1 2458212.017419 436120103 106.863916029786 135.561580185256 0.876898371158475 0.993733987106368 111.482459014966 156.296413061447 0.718079817650331 1.48092514203748 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 11 436 1 3 ZTF_g 457523560315 8 5.1102 85.7235 15.9206 25.9877 0.000356029 0.0634867 0.0220534 0.000406145 319 30. 0.149628 0.149347 18.3742 25.9877 1 2458212.0235648 436120103 118.259653646539 140.035867810483 0.93940337627404 0.897510867662704 211.347939977562 162.427511770714 1.309946684485 1.35162611373968 1.68440089486956 21.636999797821 0.137999996542931 0.718999981880188 0.0579999983310699 2458206.029340 2458288.876470 0
 12 436 1 3 ZTF_r 464484320315 0 2.1164 159.236 11.6588 25.8418 8.7428e-06 0.0216229 0.0908343 9.04313e-06 1633 30. 0.089291 0.082595 19.7198 25.8418 1 2458218.9843287 436120203 -3.24837162415576 35.2079316709461 -0.102631339338473 1.19539163269581 -33.0852763182363 61.7139624284565 -0.539717533068975 1.09283989569951 1.40760995607635 20.503000164032 0.0930000022053719 1.13199996948242 0.0240000002086163 2458218.984329 2458292.814583 0
 13 436 1 3 ZTF_r 464506200315 0 2.0636 177.559 11.6113 26.0349 9.723e-06 0.0225515 0.0950175 1.00624e-05 1608 30. 0.098928 0.093973 19.9576 26.0349 1 2458219.0062037 436120203 -15.7540798211661 35.5477862899267 -0.492986789958791 1.82689777385753 64.1338707710783 62.0039397991862 1.04131795962916 1.10851783588062 1.40760995607635 20.503000164032 0.0930000022053719 1.13199996948242 0.0240000002086163 2458218.984329 2458292.814583 0
 14 436 1 3 ZTF_r 468491140315 0 3.7211 175.608 11.7008 25.9718 1.44728e-05 0.0274616 0.103437 1.49772e-05 1612 30. 0.199588 0.19305 19.4067 25.9718 1 2458222.9911458 436120203 -26.3118221731856 52.0391333429846 -0.562439315721903 1.03122492500186 -114.389097886918 69.9635532204943 -1.64599294549294 1.14424991861162 1.40760995607635 20.503000164032 0.0930000022053719 1.13199996948242 0.0240000002086163 2458218.984329 2458292.814583 0
