# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-07-07 at 15:46:27
#
# Requested input R.A. = 280.182856213 degrees
# Requested input Dec. = +27.023613899 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460133.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 637 10 3 ZTF_r 444504783915 0 1.3806 166.908 6.97648 26.3156 2.393e-06 0.0164161 0.079697 7.74311e-06 1978 30. 0.071891 0.050706 20.9075 26.3156 1 2458199.0047801 637120239 47.1023676892663 18.8171641467877 2.78447527584629 1.07940441130218 97.1365277088978 36.5497258678394 2.67555352303766 1.04230247300175 0.113645707910746 22.7480000495911 0.298000007867813 0.732999980449677 -0.254999995231628 2458217.985440 2458358.728750 0
 1 637 10 3 ZTF_r 444527073915 0 1.6213 166.76 7.30689 26.3104 1.3381e-06 0.0122767 0.0852835 4.32167e-06 1983 30. 0.03968 0.040263 20.7701 26.3104 1 2458199.0270718 637120239 44.7978394127651 21.4839137102913 2.31952186269462 0.958244016212896 39.008863741507 40.6171822098726 0.966871371831204 1.04795521237313 0.113645707910746 22.7480000495911 0.298000007867813 0.732999980449677 -0.254999995231628 2458217.985440 2458358.728750 0
 2 637 10 3 ZTF_g 449505983915 0 2.2444 72.5563 5.31123 26.2436 1.5914e-06 0.0134112 -0.0250717 5.15168e-06 1960 30. 0.049933 0.047067 20.8088 26.2436 1 2458204.0059838 637120139 0.058360610761268 21.0211077489721 0.00308829679732292 0.955569550833683 -27.0380296985829 34.3073347323905 -0.793420199982311 1.09725715199837 0.289773894626854 22.2729999542236 0.162000000476837 0.703000009059906 -0.224999994039536 2458204.005984 2458311.837488 0
 3 637 10 3 ZTF_g 452513353915 0 1.9393 69.1155 9.42561 26.1901 2.2145e-06 0.0159398 -0.0318607 7.13611e-06 1976 30. 0.04074 0.040937 20.0897 26.1901 1 2458207.0133565 637120139 13.6342595672236 37.0509389639763 0.409342785290054 1.03688649887334 16.8693151592525 65.554491833272 0.259065862498302 1.07550378013361 0.289773894626854 22.2729999542236 0.162000000476837 0.703000009059906 -0.224999994039536 2458204.005984 2458311.837488 0
 4 637 10 3 ZTF_g 455488903915 0 2.8839 72.4006 14.6777 26.2627 4.1922e-06 0.0217834 -0.00392861 1.35955e-05 1963 30. 0.058766 0.070378 19.3381 26.2627 1 2458209.9889005 637120139 -38.0581774564403 82.7578054135325 -0.511556753398035 0.979311260968451 -32.8979422051733 120.325924316153 -0.275248346745998 1.14820302857445 0.289773894626854 22.2729999542236 0.162000000476837 0.703000009059906 -0.224999994039536 2458204.005984 2458311.837488 0
 5 637 10 3 ZTF_g 455527403915 0 6.8819 72.6146 16.0674 26.2601 5.8529e-06 0.0253613 0.00662137 1.90866e-05 1956 30. 0.064149 0.075281 19.1865 26.2601 1 2458210.0274074 637120139 111.636653741008 95.6950780047635 1.29769314511423 0.928747466690019 77.4699366709855 132.788082668832 0.587339613496779 1.17937392688086 0.289773894626854 22.2729999542236 0.162000000476837 0.703000009059906 -0.224999994039536 2458204.005984 2458311.837488 0
 6 637 10 3 ZTF_r 463485433915 0 2.0537 161.735 8.03222 26.273 1.7634e-06 0.014147 0.0918782 5.6999e-06 1990 30. 0.046028 0.046319 20.5061 26.273 1 2458217.9854398 637120239 48.4624395762492 27.1041725635628 1.98895024900936 0.999729555758846 99.1805946445617 47.6579997044521 2.09510643071559 1.06953007927111 0.113645707910746 22.7480000495911 0.298000007867813 0.732999980449677 -0.254999995231628 2458217.985440 2458358.728750 0
 7 637 10 3 ZTF_r 463507673915 0 1.8297 161.297 7.90921 26.2671 1.9187e-06 0.0146003 0.0913182 6.21402e-06 1967 30. 0.043351 0.046966 20.5361 26.2671 1 2458218.0076736 637120239 28.3245119743879 27.602998753556 1.14146071988436 1.05113387646884 122.680200110028 50.0872920684023 2.46582422837902 1.0666286368392 0.113645707910746 22.7480000495911 0.298000007867813 0.732999980449677 -0.254999995231628 2458217.985440 2458358.728750 0
 8 637 10 3 ZTF_r 468469933915 0 2.0746 160.691 7.32171 26.2691 1.5699e-06 0.0133755 0.0884847 5.06604e-06 1988 30. 0.044262 0.043218 20.6105 26.2691 1 2458222.9699306 637120239 5.15236614579951 25.3739524682054 0.225877720913197 0.948735888060817 31.6293231293421 43.7526689845435 0.727780708684478 1.07540294725132 0.113645707910746 22.7480000495911 0.298000007867813 0.732999980449677 -0.254999995231628 2458217.985440 2458358.728750 0
